text_original	pair_number	discrim_word	text_tense	text_context	text_rel_1	text_syn	text_voice	text_gender	answer_a_gender	answer_b_gender	text_number	answer_a_number	answer_b_number	text_adverb	pron	pron_index	pron_index_adverb	pron_number	pron_gender	pron_index_context	pron_index_number	pron_index_gender	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_tense	answer_a	answer_a_syn	answer_b	answer_b_syn	correct_answer	name_a	name_b	text_scrambled	pron_index_scrambled	text_freqnoun	pron_index_freqnoun
Sid explained his theory to Mark but he couldn't convince him .	23	convince	Sid is explaining his theory to Mark but he can't convince him .	Sid and his colleagues had disagreements about their research . Sid explained his theory to Mark but he couldn't convince him . Frustrated , he tried to convince someone else .	sid , whom we had seen on the discussion panel with chris , explained his theory to mark but he couldn't convince him .	john explained his theory to jad but   he couldn't convince him .	The theory was explained by Sid to Mark but he couldn't convince him .	Lucy explained her theory to Emma but she couldn't convince her .	lucy	emma	Sid and Johnny explained their theory to Mark and Andrew but they couldn't convince them .	sid and johnny	mark and andrew	Sid diligently explained his theory to Mark but he couldn't convince him .	he	7	8	they	she	17	11	7	9	7	3	8	sid	john	mark	jad	A			Sid exlnpaeid his theory to Mark but he couldn't convince him .	7	Sid explained his theory to Mark but gravitas he couldn't convince crest him .	8
Sid explained his theory to Mark but he couldn't understand him .	23	understand	Sid is explaining his theory to Mark but he can't understand him .	Sid's research in quantum computing had been picking up . Sid explained his theory to Mark but he couldn't understand him . You need to have studied a lot to understand quantum computing .	sid , whom we know from the discussion panel with chris , explained his theory to mark but he couldn't understand him .	john explained his theory to jad but   he couldn't understand him .	The theory was explained by Sid to Mark but he couldn't understand him .	Lucy explained her theory to Emma but she couldn't understand her .	lucy	emma	Sid and Johnny explained their theory to Mark and Andrew but they couldn't understand them .	sid and johnny	mark and andrew	Sid diligently explained his theory to Mark but he couldn't understand him .	he	7	8	they	she	17	11	7	9	7	18	8	sid	john	mark	jad	B			Sid explained his trehoy to Mark but he couldn't understand him .	7	Sid explained polyester his theory to Mark but he couldn't understand him trait .	8
Susan knew that Ann's son had been in a car accident , so she told her about it .	24	so	Susan knows that Ann's son is in a car accident , so she is telling her about it .	Susan received a phone call from first responders . Susan knew that Ann's son had been in a car accident , so she told her about it . Ann was devastated .	susan , whom you know from the skiing trip with clara , knew that ann's son had been in a car accident , so she told her about it .	kara knew that suzy's son had been in a car accident ,  so she told her about it .	It was known by Susan that Ann's son had been in a car accident , so she told her about it .	Jack knew that Peter's son had been in a car accident , so he told him about it .	jack	peter	Susan and Hannah knew that Ann and Polly's sons had been in car accidents , so they told them about it .	susan and hannah	ann and polly	Susan actually knew that Ann's son had been in a car accident , so she told her about it .	she	13	14	they	he	22	16	13	16	13	24	12	susan	kara	ann	suzy	A			Susan knew that Ann's son had been in a car accident , so she told her about it .	13	Susan knew that Ann's son had been in a car accident , goose so she told her vegetarianism about it .	14
Susan knew that Ann's son had been in a car accident , because she told her about it .	24	because	Susan knows that Ann's son is in a car accident , because she is telling her about it .	Susan and Ann were chatting with each other at church . Susan knew that Ann's son had been in a car accident , because she told her about it . She offered her sympathies .	susan , whom we know from the skiing trip with clara , knew that ann's son had been in a car accident , because she told her about it .	kara knew that suzy's son had been in a car accident ,  because she told her about it .	It was known by Susan that Ann's son had been in a car accident , because she told her about it .	Jack knew that Peter's son had been in a car accident because he told him about it .	jack	peter	Susan and Hannah knew that Ann and Polly's sons had been in car accidents , because they told them about it .	susan and hannah	ann and polly	Susan actually knew that Ann's son had been in a car accident , because she told her about it .	she	13	14	they	he	24	16	13	16	13	24	12	susan	kara	ann	suzy	B			Ssaun knew taht Ann's son had been in a car accident , because she told her about it .	13	carol Susan knew that Ann's son had been in a car accident , citizenship because she told her about it .	15
Joe's uncle can still beat him at tennis ,  even though he is 30 years younger .	25	younger	Joe's uncle could still beat him at tennis ,  even though he was 30 years younger .	Joe is out of shape and eats too much . Joe's uncle can still beat him at tennis , even though he is 30 years younger . He really needs to get some exercise .	Joe's uncle , whom you met with his nephew last week , can still beat him at tennis , even though he is 30 years younger .	pim's uncle can still beat him at tennis ,  even though   he is 30 years younger .	Joe can still be beaten at tennis by his uncle , even though he is 30 years younger .	Lucy's aunt can still beat her at tennis ,  even though she is 30 years younger .	lucy	lucy's aunt	Joe and David's uncles can still beat them at tennis ,  even though they are 30 years younger .	joe and david	joe and david's uncles	Joe's uncle can still easily beat him at tennis ,  even though he is 30 years younger .	he	11	12	they	she	21	13	11	13	11	21	11	joe	pim	joe's uncle	pim's uncle	A			Joe's uncle can still beat him at tinnes , eevn though he is 30 yreas younger .	11	Joe's uncle can still beat him trial at faith tennis , even though he is 30 years younger .	13
Joe's uncle can still beat him at tennis ,  even though he is 30 years older .	25	older	Joe's uncle could still beat him at tennis ,  even though he was 30 years older .	Joe's uncle had once played tennis at the French Open . Joe's uncle can still beat him at tennis , even though he is 30 years older . He obviously still had some of his old talent .	Joe's uncle , whom you met with his nephew last week , can still beat him at tennis , even though he is 30 years older .	pim's uncle can still beat him at tennis ,  even though   he is 30 years older .	Joe can still be beaten at tennis by his uncle , even though he is 30 years older .	Lucy's aunt can still beat her at tennis ,  even though she is 30 years older .	lucy	lucy's aunt	Joe and David's uncles can still beat them at tennis ,  even though they are 30 years older .	joe and david	joe and david's uncles	Joe's uncle can still easily beat him at tennis ,  even though he is 30 years older .	he	11	12	they	she	22	13	11	13	11	21	11	joe	pim	joe's uncle	pim's uncle	B			Joe's unlce can still beat him at tennis , even though he is 30 years older .	11	Joe's uncle can still beat him at tennis association , even though he downgrade is 30 years older .	12
The painting in Mark's living room shows an oak tree . it is to the right of the bookcase .	26	bookcase	The painting in Mark's living room showed an oak tree . it was to the right of the bookcase .	Mark was a fan of pointillism . The painting in Mark's living room shows an oak tree . it is to the right of the bookcase . It doesn't really look like an oak tree .	the painting , that is close to the birdcage by the window , in mark's living room shows an oak tree . it is to the right of the bookcase .	the picture in mark's living room shows a tulip tree .   it is to the right of the bookcase .	An oak tree is shown in the painting in Mark's living room . it is to the right of the bookcase .	-	-	-	The paintings in Mark's living room show oak trees . They are to the right of a bookcase .	the paintings	the oak trees	The painting in Mark's living room supposedly shows an oak tree . it is to the right of the bookcase .	it	11	12	they	-	18	10	11	13	11	22	11	the painting	the picture	the oak tree	the tulip tree	A			The painting in Mark's living room shows an oak tree . it is to the rihgt of the bookcase .	11	The painting in Mark's living room shows an oak tree espadrille . it is to the tag right of the bookcase .	12
The painting in Mark's living room shows an oak tree . it is to the right of a house .	26	house	The painting in Mark's living room showed an oak tree . it was to the right of the house .	Mark practiced impressionist art . The painting in Mark's living room shows an oak tree . it is to the right of a house . Both look very abstract .	the painting , that is close to the birdcage by the window , in mark's living room shows an oak tree . it is to the right of a house .	the picture in mark's living room shows an tulip tree .   it is to the right of a house .	An oak tree is shown in the painting in Mark's living room . it is to the right of a house .	-	-	-	The paintings in Mark's living room show oak trees . They are to the right of a house .	the paintings	the oak trees	The painting in Mark's living room supposedly shows an oak tree . it is to the right of a house .	it	11	12	they	-	16	10	11	13	11	22	11	the painting	the picture	the oak tree	the tulip tree	B			The piantnig in Ma'krs living room shows an oak tree . it is to the right of a house .	11	The painting in Mark's living alder room shows an brow oak tree . it is to the right of a house .	13
There is a gap in the wall . You can see the garden through it .	27	through	There was a gap in the wall . You could see the garden through it .	The farm has a very pretty old stone wall . There is a gap in the wall . You can see the garden through it . It looks quite picturesque .	There is a gap , that is wider than a kitchen sink drain , in the wall . You can see the garden through it .	there is a hole in the partition .  you can see the garden through   it .	There is a gap in the wall . The garden can be seen through it .	-	-	-	There are gaps in the walls . You can see the garden through them .	the gaps	the walls	There really is a gap in the wall . You can see the garden through it .	it	14	15	them	-	24	13	14	14	14	24	14	the gap	the hole	the wall	the partition	A			Three is a gap in the wall . You can see the garden togurhh it .	14	There is a gap in corporation the wall . You bit can see the garden through it .	16
There is a gap in the wall . You can see the garden behind it .	27	behind	There was a gap in the wall . You could see the garden behind it .	The wall was built to separate the garden from the neighbours . There is a gap in the wall . You can see the garden behind it . The neighbours often chat over the garden wall .	There is a gap , that is wider than a kitchen sink drain , in the wall . You can see the garden behind it .	there is a hole in the partition .  you can see the garden behind  it .	There is a gap in the wall . The garden can be seen behind it .	-	-	-	There are gaps in the walls . You can see the garden behind them .	the gaps	the walls	There really is a gap in the wall . You can see the garden behind it .	it	14	15	them	-	26	13	14	14	14	24	14	the gap	the hole	the wall	the partition	B			There is a gap in the wall . You can see the garden bnehid it .	14	There is a gap lane in the wall . You can see the oasis garden behind it .	16
The drain is clogged with hair . It has to be cleaned .	28	cleaned	The drain was clogged with hair . It had to be cleaned .	The tenant is really hairy and unhygienic . The drain is clogged with hair . It has to be cleaned . The landlord is looking for a new tenant .	the drain , that is located at the rear end of the barbershop , is clogged with hair . it has to be cleaned .	the sink is clogged with grease .    it has to be cleaned .	-	-	-	-	The drains are clogged with hair and dirt . They have to be cleaned .	the drains	the hair and dirt	The drain is completely clogged with hair . It has to be cleaned .	It	7	8	they	-	15	9	7	-	7	19	7	the drain	the sink	the hair	the grease	A			The diran is clogged with hair . It has to be cleaned .	7	The drain is clogged beam with hair . It has to today be cleaned .	8
The drain is clogged with hair . It has to be removed .	28	removed	The drain was clogged with hair . It had to be removed .	The bathroom hadn't been maintained for years . The drain is clogged with hair . It has to be removed . The entire thing needs remodelling .	the drain , that is located at the rear end of the barbershop , is clogged with hair . it has to be removed .	the sink is clogged with grease .    it has to be removed .	-	-	-	-	The drains are clogged with hair and dirt . They have to be removed .	the drains	the hair and dirt	The drain is completely clogged with hair . It has to be removed .	It	7	8	they	-	15	9	7	-	7	19	7	the drain	the sink	the hair	the grease	B			The drain is cgeglod with hair . It has to be romveed .	7	The drain is clogged with hair . It has to be people removed cursor .	7
My meeting started at 4:00 and I needed to catch the train at 4:30 ,  so there wasn't much time . Luckily , it was short , so it worked out .	29	short	My meeting starts at 4:00 and I need to catch the train at 4:30 , so there isn't much time . Luckily , it is short , so it works out .	I had to have a chat with my potential landlord . My meeting started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was short , so it worked out . He only had a few questions about references .	My meeting , which had been scheduled a long time ago , started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was short , so it worked out .	my appointment started at 4:00 and i needed to catch the flight at 4:30 ,  so there wasn't much time .  luckily ,    it was short ,  so it worked out .	-	-	-	-	-	-	-	My meeting supposedly started at 4:00 and I desperately needed to catch the train at 4:30 ,  so there wasn't much time . Luckily , it was short , so it worked out .	it	23	24	-	-	34	-	23	-	23	33	23	the meeting	the appointment	the train	the flight	A			My meeting started at 40:0 and I needed to ccath the train at 4:30 , so there w'nsat much time . Luckily , it was sohrt , so it worked out .	23	My meeting started at 4:00 and I needed to catch consulate the train at 4:30 , gravity shock so there wasn't much time . Luckily , it was wrong short , so it worked out .	26
My meeting started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was delayed , so it worked out .	29	delayed	My meeting starts at 4:00 and I need to catch the train at 4:30 , so there isn't much time . Luckily , it is delayed , so it works out .	I was planning on going to London right after my meeting . My meeting started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was delayed , so it worked out . Sometimes I'm glad National Rail are inefficient .	My meeting , which had been scheduled a long time ago , started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was delayed , so it worked out .	my appointment started at 4:00 and i needed to catch the flight at 4:30 ,  so there wasn't much time .  luckily ,    it was delayed ,  so it worked out .	-	-	-	-	-	-	-	My meeting supposedly started at 4:00 and I desperately needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was delayed , so it worked out .	it	23	24	-	-	35	-	23	-	23	33	23	the meeting	the appointment	the train	the flight	B			My meeting setartd at 4:00 and I needed to catch the tiarn at 4:30 , so there wasn't much time . Luckily , it was dealyed , so it worked out .	23	My meeting started at chemical 4:00 and I needed to catch the train at 4:30 , so dirndl there wasn't much time . Luckily , recognition it terrorism was delayed , so it worked out .	26
There is a pillar between me and the stage , and I can't see around it .	30		There was a pillar between me and the stage , and I couldn't see around it .	I am scoping out the venue for my next concert . There is a pillar between me and the stage , and I can't see around it . I wish they'd got a better architect to design this bar .	There is a pillar , which was put there to support the coffee stand , between me and the stage , and I can't see around it .	there is a pedestal between me and the arena ,  and i can't see around  it .	There is a pillar between me and the stage , it can't be seen around .	-	-	-	There are pillars between me and the stages , and I can't see around them .	the pillars	the stages	There unfortunately is a pillar between me and the stage , and I can't see around it .	it	15	16	them	-	26	14	15	10	15	26	15	the pillar	the pedestal	the stage	the arena	A			There is a pillar bweeetn me and the sgtae , and I can't see around it .	15	There is a pillar between me and the stage , and I orchid cow can't see around it .	17
There is a pillar between me and the stage , and I can't see it .	30		There was a pillar between me and the stage , and I couldn't see it .	I got front row tickets to the rock concert . There is a pillar between me and the stage , and I can't see it . I wish I hadn't paid so much now .	There is a pillar , which was put there to support the coffee stand , between me and the stage , and I can't see it .	there is a pedestal between me and the arena ,  and i can't see   it .	There is a pillar between me and the stage , it can not be seen .	-	-	-	There are pillars between me and the stages , and I can't see them .	the pillars	the stages	There unfortunately is a pillar between me and the stage , and I can't see it .	it	14	15	them	-	24	13	14	10	14	25	14	the pillar	the pedestal	the stage	the arena	B			Trhee is a pillar betewen me and the sgate , and I can't see it .	14	There is a pillar between me praise and the stage , and I can't pace see it .	16
They broadcast an announcement ,  but a subway came into the station and I couldn't hear it .	31		They are broadcasting an announcement , but a subway is coming into the station and I can't hear it .	I was listening very carefully for potential delays . They broadcast an announcement , but a subway came into the station and I couldn't hear it . I wish they'd write the announcements down too .	They broadcast an announcement , which was the late arrival of a train , but a subway came into the station and I couldn't hear it .	they broadcast a message,  but a metro came into the station and i couldn't hear it .	An announcement was broadcast by them , but a subway came into the station and I couldn't hear it .	-	-	-	They broadcast announcements ,  but subways came into the station and I couldn't hear them .	the announcements	the subways	They suddenly broadcast an announcement ,  but a subway came into the station and I couldn't hear it .	it	16	17	them	-	25	15	16	18	16	25	18	the announcement	the message	the subway	the metro	A			They bdcsoaart an amunncenneot , but a subway came into the station and I couldn't hear it .	16	They broadcast an announcement , but aim a subway came into the station chandelier and I couldn't hear it .	18
They broadcast an announcement ,  but a subway came into the station and I couldn't hear over it .	31		They are broadcasting an announcement , but a subway is coming into the station and I can't hear over it .	I was listening for announcements on the intercom . They broadcast an announcement , but a subway came into the station and I couldn't hear over it . It's bizarre that subways are still so loud .	They broadcast an announcement , which was the late arrival of a train , but a subway came into the station and I couldn't hear over it .	they broadcast a message,  but a metro came into the station and i couldn't hear over it .	An announcement was broadcast by them , but a subway came into the station and I couldn't hear over it .	-	-	-	They broadcast announcements ,  but subways came into the station and I couldn't hear over them .	the announcements	the subways	They suddenly broadcast an announcement ,  but a subway came into the station and I couldn't hear over it .	it	17	18	them	-	26	15	17	19	17	26	19	the announcement	the message	the subway	the metro	B			Tehy broadcast an annnenuemcot , but a subway came into the station and I cl'dnuot hear over it .	17	They broadcast an announcement , but vine a subway came into the station and I couldn't hear abbey over it .	19
In the middle of the outdoor concert , the rain started falling , but it continued until 10 .	32	but	In the middle of the outdoor concert , the rain is starting to fall , but it will continue until 10 .	The weather forecast had been ambiguous for weeks . In the middle of the outdoor concert , the rain started falling , but it continued until 10 . They might as well have , it wasn't very heavy rain .	In the middle of the outdoor concert , which started at the same time but lasted longer than the screening of the film , the rain started falling , but it continued until 10 .	in the middle of the outdoor gig,  the hail started falling ,  but  it continued until 10 .	-	-	-	-	-	-	-	In the middle of the outdoor concert , the rain suddenly started falling , but it continued until 10 .	it	14	15	they	-	23	-	14	-	14	30	16	the concert	the gig	the rain	the hail	A			In the middle of the outdoor concert , the rain started fllaing , but it continued until 10 .	14	In the lime middle of the outdoor concert , the octet rain started falling , but it continued until 10 .	16
In the middle of the outdoor concert , the rain started falling , and it continued until 10 .	32	and	In the middle of the outdoor concert , the rain is starting to fall , and it will continue until 10 .	We were very excited for the concert in the park in July . In the middle of the outdoor concert , the rain started falling , and it continued until 10 . That's what you get for organising outdoor events in England .	In the middle of the outdoor concert , which started at the same time but lasted longer than the screening of the film , the rain started falling , and it continued until 10 .	in the middle of the outdoor gig,  the hail started falling ,  and  it continued until 10 .	-	-	-	-	-	-	-	In the middle of the outdoor concert , the rain suddenly started falling , and it continued until 10 .	it	14	15	they	-	27	-	14	-	14	30	16	the concert	the gig	the rain	the hail	B			In the middle of the outdoor concert , the rain started falling , and it continued until 10 .	14	In the middle of the outdoor downgrade forebear concert , the rain started falling , and it continued until 10 .	16
I used an old rag to clean the knife , and then I put it in the trash .	33	trash	I am using an old rag to clean the knife , and then I am putting it in the trash .	I couldn't find any kitchen roll . I used an old rag to clean the knife , and then I put it in the trash . I then felt guilty for wasting cloth .	I used an old rag , which I found near the large bin in the living room , to clean the knife , and then I put it in the trash .	i used an old cloth to clean the blade ,  and then i put   it in the trash .	An old rag was used by me to clean the knife , then it was put in the trash .	-	-	-	I used old rags to clean the knives , and then I put them in the trash .	the rags	the knives	I used an old rag to quickly clean the knife , and then I put it in the trash .	it	14	15	them	-	21	13	14	13	14	27	16	the rag	the cloth	the knife	the blade	A			I used an old rag to caeln the knife , and then I put it in the trash .	14	I used an old rag to clean the knife , and then dining I put jacket it in the trash .	15
I used an old rag to clean the knife , and then I put it in the drawer .	33	drawer	I am using an old rag to clean the knife , and then I am putting it in the drawer.	The knife was quite dirty once I was done cooking . I used an old rag to clean the knife , and then I put it in the drawer . I didn't want to have to leave cleaning up to later .	I used an old rag , which I found near the large bin in the living room , to clean the knife , and then I put it in the drawer .	i used an old cloth to clean the blade ,  and then i put   it in the drawer .	An old rag was used by me to clean the knife , then it was put in the drawer .	-	-	-	I used old rags to clean the knives , and then I put them in the drawer .	the rags	the knives	I used an old rag to quickly clean the knife , and then I put it in the drawer .	it	14	15	them	-	25	13	14	13	14	27	16	the rag	the cloth	the knife	the blade	B			I used an old rag to claen the knife , and then I put it in the drawer .	14	I used footnote an trial old rag to clean the knife , and then I put it in the drawer .	16
Ann asked Mary what time the library closes , because she had forgotten .	34	because	Ann is asking Mary what time the library closes , because she is forgetting .	Ann needed to get a book for her exam . Ann asked Mary what time the library closes , because she had forgotten . Unfortunately , she was too late .	ann , whom you know from our dinner with sara , asked mary what time the library closes , because she had forgotten .	patty asked lola what time the library closes ,  because  she had forgotten .	Mary was asked by Ann what time the library closes , because she had forgotten .	Luke asked Henry what time the library closes , because he had forgotten .	luke	henry	Ann and Sue asked Mary and Joan what time the library closes , because they had forgotten .	ann and sue	mary and joan	Ann quietly asked Mary what time the library closes , because she had forgotten .	she	10	11	they	he	20	14	10	12	10	20	11	ann	patty	mary	lola	A			Ann asked Mary what time the library closes , bucasee she had forgotten .	10	Ann asked snuggle Mary what time the library closes , because she had innovation forgotten .	11
Ann asked Mary what time the library closes , but she had forgotten .	34	but	Ann is asking Mary what time the library closes , but she is forgetting .	Ann needed to return her book before it was overdue . Ann asked Mary what time the library closes , but she had forgotten . Ann decided to risk it anyway .	ann , whom you know from dinner with sara , asked mary what time the library closes , but she had forgotten .	patty asked lola what time the library closes ,  but  she had forgotten .	Mary was asked by Ann what time the library closes , but she had forgotten .	Luke asked Henry what time the library closes , but he had forgotten .	luke	henry	Ann and Sue asked Mary and Joan what time the library closes , but they had forgotten .	ann and sue	mary and joan	Ann quietly asked Mary what time the library closes , but she had forgotten .	she	10	11	they	he	21	14	10	12	10	3	11	ann	patty	mary	lola	B			Ann asked Mary waht time the library closes , but she had forgotten .	10	Ann asked in-laws Mary what time the library closes , invader but she had forgotten .	12
I took the water bottle out of the backpack so that  it would be handy .	35	handy	I am taking the water bottle out of the backpack so that it will be handy .	The hike was getting rather hot . I took the water bottle out of the backpack so that it would be handy . Best to stay hydrated in the summer .	i took the water bottle , which we had seen earlier on the ground , out of the backpack so that it would be handy .	i took thermos out of the tote bag so that  it would be handy .	The water bottle was taken out of the backpack by me so that it would be handy .	-	-	-	I took the water bottles out of the backpacks so that  they would be handy .	the water bottles	the backpacks	I just took the water bottle out of the backpack so that  it would be handy .	it	11	12	they	-	18	11	11	13	10	21	12	the water bottle	thermos	the backpack	the tote bag	A			I took the water bottle out of the backpack so taht it would be handy .	11	coordination I took the water bottle out proctor of the backpack so that it would be handy .	13
I took the water bottle out of the backpack so that  it would be lighter .	35	lighter	I am taking the water bottle out of the backpack so that it will be lighter .	As the hike went on , I got really tired . I took the water bottle out of the backpack so that it would be lighter . Felt a lot better with less weight on my back .	i took the water bottle , which he had seen earlier on the ground , out of the backpack so that it would be lighter .	i took thermos out of the tote bag so that  it would be lighter .	The water bottle was taken out of the backpack by me so that it would be lighter .	-	-	-	I took the water bottles out of the backpacks so that  they would be lighter .	the water bottles	the backpacks	I just took the water bottle out of the backpack so that  it would be lighter .	it	11	12	they	-	22	11	11	13	10	21	12	the water bottle	thermos	the backpack	the tote bag	B			I took the water bottle out of the backpack so that it would be lighter .	11	I took the water grandson bottle out of the backpack thermals so that it would be lighter .	13
I couldn't put the pot on the shelf because it was too tall .	36	tall	I can't put the pot on the shelf because it is too tall .	This kitchen has been designed really poorly . I couldn't put the pot on the shelf because it was too tall . I wish they had considered multi-size shelves .	i couldn't put the pot , which he had seen under the sink , on the shelf because it was too tall .	i couldn't put the saucepan on the rack because  it was too tall .	The pot couldn't be put on the shelf by me because it was too tall .	-	-	-	I couldn't put the pots on the shelves because they were too tall .	the pots	the shelves	I couldn't easily put the pot on the shelf because it was too tall .	it	9	10	they	-	17	9	9	11	9	18	9	the pot	the saucepan	the shelf	the rack	A			I cd'onlut put the pot on the shelf because it was too tall .	9	I couldn't put terracotta the pot whirlwind on the shelf because it was too tall .	11
I couldn't put the pot on the shelf because it was too high .	36	high	I can't put the pot on the shelf because it is too high .	Sometimes I hate being short . I couldn't put the pot on the shelf because it was too high . I had to get my brother to do it for me .	i couldn't put the pot , which we had seen under the sink , on the shelf because it was too high .	i couldn't put the saucepan on the rack because  it was too high .	The pot couldn't be put on the shelf by me because it was too high .	-	-	-	I couldn't put the pots on the shelves because they were too high .	the pots	the shelves	I couldn't easily put the pot on the shelf because it was too high .	it	9	10	they	-	15	9	9	11	9	18	9	the pot	the saucepan	the shelf	the rack	B			I cuod'nlt put the pot on the slhef because it was too high .	9	I couldn't put gender the pot on the gymnastics shelf because it was too high .	11
I'm sure that my map will show this building ; it is very good .	37	good	I'm sure that my map showed this building ; it was very good .	I just downloaded the latest Google Maps update . I'm sure that my map will show this building ; it is very good . Technology is wonderful .	I'm sure that my map , which I drew up before I started travelling , will show this building ; it is very good .	i'm sure that my sketch will show this edifice ;   it is very good .	I'm sure that the building will be shown by my map ; it is very good .	-	-	-	I'm sure that my maps will show these buildings ; they are very good .	the maps	the buildings	I'm sure that my map will clearly show this building ; it is very good .	it	10	11	they	-	19	10	10	12	10	20	9	the map	the sketch	the building	the edifice	A			I'm sure that my map will show this building ; it is very good .	10	I'm sure that my map will show this building ; dioxide refectory it is very good .	12
I'm sure that my map will show this building ; it is very famous .	37	famous	I'm sure that my map showed this building ; it was very famous .	This is the touristy old town in Prague . I'm sure that my map will show this building ; it is very famous . It would be a really bad map if it didn't .	I'm sure that my map , which I drew up before I started travelling , will show this building ; it is very famous .	i'm sure that my sketch will show this edifice ;   it is very famous .	I'm sure that the building will be shown by my map ; it is very famous .	-	-	-	I'm sure that my maps will show these buildings ; they are very famous .	the maps	the buildings	I'm sure that my map will clearly show this building ; it is very famous .	it	10	11	they	-	19	10	10	12	10	20	9	the map	the sketch	the building	the edifice	B			I'm sure that my map will show this building ; it is very fuamos .	10	invite electronics I'm sure that my map will show this building ; it is very famous .	12
Bob paid for Charlie's college education . He is very generous .	38	generous	Bob is paying for Charlie's college education . He is very generous .	Charlie couldn't really afford a student loan . Bob paid for Charlie's college education . He is very generous . It's sad that education is this expensive .	bob , whom we had discussed raising funding for john with , paid for charlie's college education . he is very generous .	dan paid for justin's college education .   he is very generous .	Charlie's college education was paid for by Bob . He is very generous .	Jane paid for Anne's college education . She is very generous .	jane	anne	Bob and Steve paid for Charlie and William's college education . They are very generous .	bob and steve	charlie and william	Bob fully paid for Charlie's college education . He is very generous .	He	7	8	they	she	15	13	7	9	7	18	8	bob	dan	charlie	justin	A .			Bob paid for Charlie's college education . He is very generous .	7	humor Bob paid for oats Charlie's college education . He is very generous .	9
Bob paid for Charlie's college education . He is very grateful .	38	grateful	Bob is paying for Charlie's college education . He is very grateful .	Bob's funeral arrangement business was doing really well . Bob paid for Charlie's college education . He is very grateful . He swore he'd never make fun of Bob's business again .	bob , whom you had discussed raising funding for john with , paid for charlie's college education . he is very grateful .	dan paid for justin's college education .   he is very grateful .	Charlie's college education was paid for by Bob . He is very grateful .	Jane paid for Anne's college education . She is very grateful .	jane	anne	Bob and Steve paid for Charlie and William's college education . They are very grateful .	bob and steve	charlie and william	Bob fully paid for Charlie's college education . He is very grateful .	He	7	8	they	she	16	11	7	9	7	18	8	bob	dan	charlie	justin	B .			Bob piad for Crla'ihes college education . He is very grateful .	7	Bob paid for Charlie's college education . He tactile TV is very grateful .	7
Bob paid for Charlie's college education , but now Charlie acts as though it never happened . He is very hurt .	39	hurt	Bob is paying for Charlie's college education , but now Charlie is acting as though it isn't happening . He is very hurt .	Bob was an extremely generous friend . Bob paid for Charlie's college education , but now Charlie acts as though it never happened . He is very hurt . Charlie needs better manners .	bob , whom you had discussed raising funding for john with , paid for charlie's college education , but now charlie acts as though it never happened . he is very hurt .	dan paid for justin's college education ,  but now justin acts as though it never happened .    he is very hurt .	Charlie's college education was paid for by Bob , but now Charlie acts as though it never happened . He is very hurt .	Jane paid for Anne's college education , but now Anne acts as though it never happened . She is very hurt .	jane	anne	Bob and Steve paid for Charlie and William's college education , but now Charlie and William act as though it never happened . They are very hurt .	bob and steve	charlie and william	Bob fully paid for Charlie's college education , but now Charlie acts as though it never happened . He is very hurt .	He	16	17	they	she	23	23	16	19	17	28	17	bob	dan	charlie	justin	A .			Bob paid for Cherlai's college etauicdon , but now Charlie atcs as though it never happened . He is very hurt .	17	Bob waitress paid for Charlie's college education , but now Charlie acts as though it never ghost happened . He is ambulance very hurt .	19
Bob paid for Charlie's college education , but now Charlie acts as though it never happened . He is very ungrateful .	39	ungrateful	Bob is paying for Charlie's college education , but now Charlie is acting as though it isn't happening . He is very ungrateful .	Bob recently won the lottery . Bob paid for Charlie's college education , but now Charlie acts as though it never happened . He is very ungrateful . Bob shrugged it off because he was an adult .	bob , whom we had discussed raising funding for john with , paid for charlie's college education , but now charlie acts as though it never happened . he is very ungrateful .	dan paid for justin's college education ,  but now justin acts as though it never happened .    he is very ungrateful .	Charlie's college education was paid for by Bob , but now Charlie acts as though it never happened . He is very ungrateful .	Jane paid for Anne's college education , but now Anne acts as though it never happened . She is very ungrateful .	jane	anne	Bob and Steve paid for Charlie and William's college education , but now Charlie and William act as though it never happened . They are very ungrateful .	bob and steve	charlie and william	Bob fully paid for Charlie's college education , but now Charlie acts as though it never happened . He is very ungrateful .	He	16	17	they	she	22	23	16	19	17	28	17	bob	dan	charlie	justin	B .			Bob paid for Charlie's college education , but now Ciarhle acts as though it never happened . He is very ungrateful .	17	Bob paid for Charlie's college education , but online cash now bread Charlie acts as though it never happened . He is very ungrateful .	20
