	Unnamed: 0	text_original	text_tense	text_random	text_role_rev	text_rel_1	text_syn	text_voice_switch	pron	pron_index	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_rand	pron_index_tense	answer_a	answer_a_syn	answer_b	answer_b_syn	correct_answer	name_a	name_b	text_scrambled	pron_index_scrambled	text_freqnoun	pron_index_freqnoun
54	54	There is a gap in the wall . You can see the garden through it .	There was a gap in the wall . You could see the garden through it .	Saxton has made only one second-half appearance this season and that was in the Washington State game , for four plays : he returned the kickoff 30 yards , gained five yards through the line and then uncorked a 56-yard touchdown run before retiring to the bench . There is a gap in the wall . You can see the garden through it . U.S. Dist. Judge Charles L. Powell denied all motions made by defense attorneys Monday in Portland's insurance fraud trial .		There is a gap , that is wider than a kitchen sink drain , in the wall . You can see the garden through it .	there is a hole in the partition .  you can see the garden through   it .	There is a gap in the wall . The garden can be seen through it .	it	14	14	14	24	62	14	the gap	the hole	the wall	the partition	A			Three is a gap in the wall . You can see the garden togurhh it .	14.0	There is a gap in corporation the wall . You bit can see the garden through it .	16.0
55	55	There is a gap in the wall . You can see the garden behind it .	There was a gap in the wall . You could see the garden behind it .	The President said he will ask Congress to increase grants to states for vocational rehabilitation . There is a gap in the wall . You can see the garden behind it . Solly Hemus announced a switch in his starting pitcher , from Bob Gibson to Ernie Broglio , for several reasons : 1 Broglio's 4-0 won-lost record and 1.24 earned-run mark against Pittsburgh a year ago ; ;		There is a gap , that is wider than a kitchen sink drain , in the wall . You can see the garden behind it .	there is a hole in the partition .  you can see the garden behind  it .	There is a gap in the wall . The garden can be seen behind it .	it	14	14	14	24	30	14	the gap	the hole	the wall	the partition	B			There is a gap in the wall . You can see the garden bnehid it .	14.0	There is a gap lane in the wall . You can see the oasis garden behind it .	16.0
56	56	The drain is clogged with hair . It has to be cleaned .	The drain was clogged with hair . It had to be cleaned .	Thus he will be in a position to disabuse the Soviet leader of any notions he may have about grave Allied disunity . The drain is clogged with hair . It has to be cleaned . The result : $1.1 billion added to the deficit in the federal budget .		the drain , that is located at the rear end of the barbershop , is clogged with hair . it has to be cleaned .	the sink is clogged with grease .    it has to be cleaned .	-	It	7	-	7	19	30	7	the drain	the sink	the hair	the grease	A			The diran is clogged with hair . It has to be cleaned .	7.0	The drain is clogged beam with hair . It has to today be cleaned .	8.0
57	57	The drain is clogged with hair . It has to be removed .	The drain was clogged with hair . It had to be removed .	Police said the boys are natural brothers and were adopted as small children by the Dresbachs . The drain is clogged with hair . It has to be removed . The contract called for overhauling of 102 joints .		the drain , that is located at the rear end of the barbershop , is clogged with hair . it has to be removed .	the sink is clogged with grease .    it has to be removed .	-	It	7	-	7	19	24	7	the drain	the sink	the hair	the grease	B			The drain is cgeglod with hair . It has to be romveed .	7.0	The drain is clogged with hair . It has to be people removed cursor .	7.0
58	58	My meeting started at 4:00 and I needed to catch the train at 4:30 ,  so there wasn't much time . Luckily , it was short , so it worked out .	My meeting starts at 4:00 and I need to catch the train at 4:30 , so there isn't much time . Luckily , it is short , so it works out .	Revenue estimated My meeting started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was short , so it worked out . to the editor :		My meeting , which had been scheduled a long time ago , started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was short , so it worked out .	my appointment started at 4:00 and i needed to catch the flight at 4:30 ,  so there wasn't much time .  luckily ,    it was short ,  so it worked out .	-	it	23	-	23	33	25	23	the meeting	the appointment	the train	the flight	A			My meeting started at 40:0 and I needed to ccath the train at 4:30 , so there w'nsat much time . Luckily , it was sohrt , so it worked out .	23.0	My meeting started at 4:00 and I needed to catch consulate the train at 4:30 , gravity shock so there wasn't much time . Luckily , it was wrong short , so it worked out .	26.0
59	59	My meeting started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was delayed , so it worked out .	My meeting starts at 4:00 and I need to catch the train at 4:30 , so there isn't much time . Luckily , it is delayed , so it works out .	In the past these same Southerners were inclined to look the other way . My meeting started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was delayed , so it worked out . Everyone should take time to read Martin Luther's Hymn `` A Mighty Fortress Is Our God '' .		My meeting , which had been scheduled a long time ago , started at 4:00 and I needed to catch the train at 4:30 , so there wasn't much time . Luckily , it was delayed , so it worked out .	my appointment started at 4:00 and i needed to catch the flight at 4:30 ,  so there wasn't much time .  luckily ,    it was delayed ,  so it worked out .	-	it	23	-	23	33	37	23	the meeting	the appointment	the train	the flight	B			My meeting setartd at 4:00 and I needed to catch the tiarn at 4:30 , so there wasn't much time . Luckily , it was dealyed , so it worked out .	23.0	My meeting started at chemical 4:00 and I needed to catch the train at 4:30 , so dirndl there wasn't much time . Luckily , recognition it terrorism was delayed , so it worked out .	26.0
60	60	There is a pillar between me and the stage , and I can't see around it .	There was a pillar between me and the stage , and I couldn't see around it .	It will continue to be important as a means of orientation to the Negro , seeking to become urbanized , as he tries to make adjustment to the urban life . There is a pillar between me and the stage , and I can't see around it . In the fevered , intoxicating , breathless state of being in love the usual signposts that guide you to lasting and satisfying relationships are sometimes obscured .		There is a pillar , which was put there to support the coffee stand , between me and the stage , and I can't see around it .	there is a pedestal between me and the arena ,  and i can't see around  it .	There is a pillar between me and the stage , it can not be seen around .	it	15	10	15	26	46	15	the pillar	the pedestal	the stage	the arena	A			There is a pillar bweeetn me and the sgtae , and I can't see around it .	15.0	There is a pillar between me and the stage , and I orchid cow can't see around it .	17.0
61	61	There is a pillar between me and the stage , and I can't see it .	There was a pillar between me and the stage , and I couldn't see it .	The place is Camusfearna , the site of a long-vanished sea-village opposite the isle of Skye . There is a pillar between me and the stage , and I can't see it . Robert Hillyer , the poet , writes in his introduction to this brief animal fable that Mr. Burman ought to win a Nobel Prize for the Catfish Bend series .		There is a pillar , which was put there to support the coffee stand , between me and the stage , and I can't see it .	there is a pedestal between me and the arena ,  and i can't see   it .	There is a pillar between me and the stage , it can not be seen .	it	14	10	14	25	31	14	the pillar	the pedestal	the stage	the arena	B			Trhee is a pillar betewen me and the sgate , and I can't see it .	14.0	There is a pillar between me praise and the stage , and I can't pace see it .	16.0
62	62	They broadcast an announcement ,  but a subway came into the station and I couldn't hear it .	They are broadcasting an announcement , but a subway is coming into the station and I can't hear it .	But the Communists aided the Pathet Lao at an even faster rate . They broadcast an announcement , but a subway came into the station and I couldn't hear it . Asilomar , March 26		They broadcast an announcement , which was the late arrival of a train , but a subway came into the station and I couldn't hear it .	they broadcast a message,  but a metro came into the station and i couldn't hear it .	An announcement was broadcast by them , but a subway came into the station and I couldn't hear it .	it	16	18	16	25	29	18	the announcement	the message	the subway	the metro	A			They bdcsoaart an amunncenneot , but a subway came into the station and I couldn't hear it .	16.0	They broadcast an announcement , but aim a subway came into the station chandelier and I couldn't hear it .	18.0
63	63	They broadcast an announcement ,  but a subway came into the station and I couldn't hear over it .	They are broadcasting an announcement , but a subway is coming into the station and I can't hear over it .	It is natural that he should turn for his major support to a select and dedicated few from the organization which actually owns the university and whose goals are , in their opinion , identified with its highest good and ( to use that oft-repeated phrase ) ' the attainment of excellence ' '' . They broadcast an announcement , but a subway came into the station and I couldn't hear over it . Without dissent , senators passed a bill by Sen. A. R. Schwartz of Galveston authorizing establishment in the future of a school for the mentally retarded in the Gulf Coast district .		They broadcast an announcement , which was the late arrival of a train , but a subway came into the station and I couldn't hear over it .	they broadcast a message,  but a metro came into the station and i couldn't hear over it .	An announcement was broadcast by them , but a subway came into the station and I couldn't hear over it .	it	17	19	17	26	72	19	the announcement	the message	the subway	the metro	B			Tehy broadcast an annnenuemcot , but a subway came into the station and I cl'dnuot hear over it .	17.0	They broadcast an announcement , but vine a subway came into the station and I couldn't hear abbey over it .	19.0
64	64	In the middle of the outdoor concert , the rain started falling , but it continued until 10 .	In the middle of the outdoor concert , the rain is starting to fall , but it will continue until 10 .	This `` family-community '' spirit is the real explanation of the marvel of our achievement . In the middle of the outdoor concert , the rain started falling , but it continued until 10 . The President said the nation's 92 medical and 47 dental schools cannot now handle the student load needed to meet the rising need for health care .		In the middle of the outdoor concert , which started at the same time but lasted longer than the screening of the film , the rain started falling , but it continued until 10 .	in the middle of the outdoor gig,  the hail started falling ,  but  it continued until 10 .	-	it	14	-	14	30	30	16	the concert	the gig	the rain	the hail	A			In the middle of the outdoor concert , the rain started fllaing , but it continued until 10 .	14.0	In the lime middle of the outdoor concert , the octet rain started falling , but it continued until 10 .	16.0
65	65	In the middle of the outdoor concert , the rain started falling , and it continued until 10 .	In the middle of the outdoor concert , the rain is starting to fall , and it will continue until 10 .	Patricia now attends the C. Melvin Sharpe Health School in the District . In the middle of the outdoor concert , the rain started falling , and it continued until 10 . Mr. Sansom is English , bearded , formidably cultivated , the versatile author of numerous volumes of short stories , of novels and of pieces that are neither short stories nor travel articles but something midway between .		In the middle of the outdoor concert , which started at the same time but lasted longer than the screening of the film , the rain started falling , and it continued until 10 .	in the middle of the outdoor gig,  the hail started falling ,  and  it continued until 10 .	-	it	14	-	14	30	27	16	the concert	the gig	the rain	the hail	B			In the middle of the outdoor concert , the rain started falling , and it continued until 10 .	14.0	In the middle of the outdoor downgrade forebear concert , the rain started falling , and it continued until 10 .	16.0
66	66	I used an old rag to clean the knife , and then I put it in the trash .	I am using an old rag to clean the knife , and then I am putting it in the trash .	It's not much more , in fact , than the return that is offered on U. S. Treasury bonds . I used an old rag to clean the knife , and then I put it in the trash . He traveled alternately with Mr. Kennedy and with Richard M. Nixon .		I used an old rag , which I found near the large bin in the living room , to clean the knife , and then I put it in the trash .	i used an old cloth to clean the blade ,  and then i put   it in the trash .	An old rag was used by me to clean the knife , then it was put in the trash .	it	14	13	14	27	34	16	the rag	the cloth	the knife	the blade	A			I used an old rag to caeln the knife , and then I put it in the trash .	14.0	I used an old rag to clean the knife , and then dining I put jacket it in the trash .	15.0
67	67	I used an old rag to clean the knife , and then I put it in the drawer .	I am using an old rag to clean the knife , and then I am putting it in the drawer.	 task force ' I used an old rag to clean the knife , and then I put it in the drawer . Mr. Ingo Dussa , of Dusseldorf , Germany , and Mr. Bietnar Haaek , of Brelin .		I used an old rag , which I found near the large bin in the living room , to clean the knife , and then I put it in the drawer .	i used an old cloth to clean the blade ,  and then i put   it in the drawer .	An old rag was used by me to clean the knife , then it was put in the drawer .	it	14	13	14	27	18	16	the rag	the cloth	the knife	the blade	B			I used an old rag to claen the knife , and then I put it in the drawer .	14.0	I used footnote an trial old rag to clean the knife , and then I put it in the drawer .	16.0
68	68	Ann asked Mary what time the library closes , because she had forgotten .	Ann is asking Mary what time the library closes , because she is forgetting .	Conceding that several cities to the north were in worse shape than Baltimore after the last storm , Mr. Schaefer listed several improvements he said should be made in the snow plan here . Ann asked Mary what time the library closes , because she had forgotten . Merritt D. Hill , Ford Motor Co. vice president , says his company is starting to get calls daily from dealers demanding immediate delivery or wanting earlier shipping dates on orders for corn pickers .		ann , who you know from our dinner with sara , asked mary what time the library closes , because she had forgotten .	patty asked lola what time the library closes ,  because  she had forgotten .	Mary was asked by Ann what time the library closes , because she had forgotten .	she	10	12	10	20	44	11	ann	patty	mary	lola	A			Ann asked Mary what time the library closes , bucasee she had forgotten .	10.0	Ann asked snuggle Mary what time the library closes , because she had innovation forgotten .	11.0
69	69	Ann asked Mary what time the library closes , but she had forgotten .	Ann is asking Mary what time the library closes , but she is forgetting .	He met with enthusiastic audience approval , especially when he swung from jazz to Latin American things like the Mambo . Ann asked Mary what time the library closes , but she had forgotten . `` Just when you think you have it licked , this golf course can get up and bite you '' , Player had said one afternoon midway through the tournament .		ann , who you know from dinner with sara , asked mary what time the library closes , but she had forgotten .	patty asked lola what time the library closes ,  but  she had forgotten .	Mary was asked by Ann what time the library closes , but she had forgotten .	she	10	12	10	3	31	11	ann	patty	mary	lola	B			Ann asked Mary waht time the library closes , but she had forgotten .	10.0	Ann asked in-laws Mary what time the library closes , invader but she had forgotten .	12.0
70	70	I took the water bottle out of the backpack so that  it would be handy .	I am taking the water bottle out of the backpack so that it will be handy .	Let us prepare for peace , instead of for a war which would mean the end of civilization . I took the water bottle out of the backpack so that it would be handy . Confusion became chaos ; ;		i took the water bottle , which we had seen earlier on the ground , out of the backpack so that it would be handy .	i took thermos out of the tote bag so that  it would be handy .	The water bottle was taken out of the backpack by me so that it would be handy .	it	11	13	10	21	30	12	the water bottle	thermos	the backpack	the tote bag	A			I took the water bottle out of the backpack so taht it would be handy .	11.0	coordination I took the water bottle out proctor of the backpack so that it would be handy .	13.0
71	71	I took the water bottle out of the backpack so that  it would be lighter .	I am taking the water bottle out of the backpack so that it will be lighter .	( The last doorman that saw me do that should calm himself . I took the water bottle out of the backpack so that it would be lighter . Connection is sought		i took the water bottle , which he had seen earlier on the ground , out of the backpack so that it would be lighter .	i took thermos out of the tote bag so that  it would be lighter .	The water bottle was taken out of the backpack by me so that it would be lighter .	it	11	13	10	21	24	12	the water bottle	thermos	the backpack	the tote bag	B			I took the water bottle out of the backpack so that it would be lighter .	11.0	I took the water grandson bottle out of the backpack thermals so that it would be lighter .	13.0
72	72	I couldn't put the pot on the shelf because it was too tall .	I can't put the pot on the shelf because it is too tall .	All for $14 . I couldn't put the pot on the shelf because it was too tall . Publisher Richardson has updated the Blue Book `` but it still remains the compact reference book used by so many for those ever-changing telephone numbers , addresses , other residences , club affiliations and marriages '' .		i couldn't put the pot , which he had seen under the sink , on the shelf because it was too tall .	i couldn't put the saucepan on the rack because  it was too tall .	The pot couldn't be put on the self by me because it was too tall .	it	9	11	9	18	13	9	the pot	the saucepan	the shelf	the rack	A			I cd'onlut put the pot on the shelf because it was too tall .	9.0	I couldn't put terracotta the pot whirlwind on the shelf because it was too tall .	11.0
73	73	I couldn't put the pot on the shelf because it was too high .	I can't put the pot on the shelf because it is too high .	Seeks `` improved fielding '' I couldn't put the pot on the shelf because it was too high . The firm began operations back in 1925 and sells equipment in the central cotton belt , including the Mississippi Delta .		i couldn't put the pot , which we had seen under the sink , on the shelf because it was too high .	i couldn't put the saucepan on the rack because  it was too high .	The pot couldn't be put on the self by me because it was too high .	it	9	11	9	18	14	9	the pot	the saucepan	the shelf	the rack	B			I cuod'nlt put the pot on the slhef because it was too high .	9.0	I couldn't put gender the pot on the gymnastics shelf because it was too high .	11.0
74	74	I'm sure that my map will show this building ; it is very good .	I'm sure that my map showed this building ; it was very good .	No psychiatrist could tell me that the experience in a war can not have its effect in the ensuing years . I'm sure that my map will show this building ; it is very good . Clerfayt , driving , sees himself `` a volcano whose cone funneled down to hell '' ; ;		I'm sure that my map , which I drew up before I started travelling , will show this building ; it is very good .	i'm sure that my sketch will show this edifice ;   it is very good .	I'm sure that the building will be shown by my map ; it is very good .	it	10	12	10	20	31	9	the map	the sketch	the building	the edifice	A			I'm sure that my map will show this building ; it is very good .	10.0	I'm sure that my map will show this building ; dioxide refectory it is very good .	12.0
75	75	I'm sure that my map will show this building ; it is very famous .	I'm sure that my map showed this building ; it was very famous .	Let us , like the French , have outdoor cafes where we may relax , converse at leisure and enjoy the passing crowd . I'm sure that my map will show this building ; it is very famous . Ultimately the U.N. army in the Congo reached a top strength of 19,000 , including about 5,000 from India and a few soldiers from Eire and Sweden , who were the only whites .		I'm sure that my map , which I drew up before I started travelling , will show this building ; it is very famous .	i'm sure that my sketch will show this edifice ;   it is very famous .	I'm sure that the building will be shown by my map ; it is very famous .	it	10	12	10	20	34	9	the map	the sketch	the building	the edifice	B			I'm sure that my map will show this building ; it is very fuamos .	10.0	invite electronics I'm sure that my map will show this building ; it is very famous .	12.0
76	76	Bob paid for Charlie's college education . He is very generous .	Bob is paying for Charlie's college education . He is very generous .	Can religious agencies use Government funds and Peace Corps personnel in their projects and still preserve the constitutional requirement on separation of church and state ? ? Bob paid for Charlie's college education . He is very generous . Moritz was bothered during the first two games this year by a pulled muscle in the thigh of his right ( kicking ) leg and , as a result , several of his successful conversions have gone barely far enough .		bob , who we had discussed raising funding for john with , paid for charlie's college education . he is very generous .	dan paid for justin's college education .   he is very generous .	Charlie's college education was paid for by Bob . He is very generous .	He	7	9	7	18	34	8	bob	dan	charlie	justin	A .			Bob paid for Charlie's college education . He is very generous .	7.0	humor Bob paid for oats Charlie's college education . He is very generous .	9.0
77	77	Bob paid for Charlie's college education . He is very grateful .	Bob is paying for Charlie's college education . He is very grateful .	Keys has no such objections to Metrecal , Quaker Oats's Quota and other 900-calorie milk formulas that are currently winning favor from dieters . Bob paid for Charlie's college education . He is very grateful . Union Oil Co. of California Tuesday offered $120 million in debentures to the public through a group of underwriters headed by Dillon , Read & Co. , to raise money to retire a similar amount held by Gulf Oil Corp. .		bob , who you had discussed raising funding for john with , paid for charlie's college education . he is very grateful .	dan paid for justin's college education .   he is very grateful .	Charlie's college education was paid for by Bob . He is very grateful .	He	7	9	7	18	31	8	bob	dan	charlie	justin	B .			Bob piad for Crla'ihes college education . He is very grateful .	7.0	Bob paid for Charlie's college education . He tactile TV is very grateful .	7.0
78	78	Bob paid for Charlie's college education , but now Charlie acts as though it never happened . He is very hurt .	Bob is paying for Charlie's college education , but now Charlie is acting as though it isn't happening . He is very hurt .	Our entire economy will have a terrific uplift . Bob paid for Charlie's college education , but now Charlie acts as though it never happened . He is very hurt . Their autumn tints are all fairly low keyed compared with the fiery stabs of crimson , gold , purple , bronze , blue and vermilion that flame up in North America .		bob , who you had discussed raising funding for john with , paid for charlie's college education , but now charlie acts as though it never happened . he is very hurt .	dan paid for justin's college education ,  but now justin acts as though it never happened .    he is very hurt .	Charlie's college education was paid for by Bob , but now Charlie acts as though it never happened . He is very hurt .	He	16	19	17	28	25	17	bob	dan	charlie	justin	A .			Bob paid for Cherlai's college etauicdon , but now Charlie atcs as though it never happened . He is very hurt .	17.0	Bob waitress paid for Charlie's college education , but now Charlie acts as though it never ghost happened . He is ambulance very hurt .	19.0
79	79	Bob paid for Charlie's college education , but now Charlie acts as though it never happened . He is very ungrateful .	Bob is paying for Charlie's college education , but now Charlie is acting as though it isn't happening . He is very ungrateful .	Writers of ads must get their inspiration from the attitude of `` modern '' parents they have observed . Bob paid for Charlie's college education , but now Charlie acts as though it never happened . He is very ungrateful . More than 10 companies maintain facilities in Dallas and one large manufacturer is located to the north at Sherman .		bob , who we had discussed raising funding for john with , paid for charlie's college education , but now charlie acts as though it never happened . he is very ungrateful .	dan paid for justin's college education ,  but now justin acts as though it never happened .    he is very ungrateful .	Charlie's college education was paid for by Bob , but now Charlie acts as though it never happened . He is very ungrateful .	He	16	19	17	28	35	17	bob	dan	charlie	justin	B .			Bob paid for Charlie's college education , but now Ciarhle acts as though it never happened . He is very ungrateful .	17.0	Bob paid for Charlie's college education , but online cash now bread Charlie acts as though it never happened . He is very ungrateful .	20.0
80	80	Bob was playing cards with Adam and was way ahead .  If Adam hadn't had a sudden run of good luck , he would have won .	Bob is playing cards with Adam and is way ahead . If Adam doesn't have a sudden run of good luck , he will win .	Now a quiet-spoken , middle-aged man , Fiedler is an aeronautical engineer for Lockheed's Missiles and Space Division at Sunnyvale , where he played a key role in the development of the Navy's Polaris missile . Bob was playing cards with Adam and was way ahead . If Adam hadn't had a sudden run of good luck , he would have won . Laura is a good role for Miss Resnik , and she gave it force , dramatic color and passion .		bob , who you know from the dinner party at perry's , was playing cards with adam and was way ahead . if adam hadn't had a sudden run of good luck , he would have won .	dan was playing cards with dirk and was way ahead .  if dirk hadn't had a sudden run of good luck , he would have won .	-	he	21	-	22	33	57	21	bob	dan	adam	dirk	A			Bob was playing cards with Adam and was way ahead . If Adam h'dnat had a sdduen run of good luck , he wloud have won .	22.0	Bob collectivisation was playing cards with Adam buggy and was way ahead . If Adam hadn't had quill a sudden run of good luck , he would have won .	25.0
81	81	Bob was playing cards with Adam and was way ahead .  If Adam hadn't had a sudden run of good luck , he would have lost .	Bob is playing cards with Adam and is way ahead . If Adam doesn't have a sudden run of good luck , he will lose .	What explains this uni-directional paralysis ? ? Bob was playing cards with Adam and was way ahead . If Adam hadn't had a sudden run of good luck , he would have lost . The Rev. Melvin Carter officiated at the ceremony in Slaughter Chapel of the First Baptist Church .		bob , who you know from the dinner party at perry's , was playing cards with adam and was way ahead . if adam hadn't had a sudden run of good luck , he would have lost .	dan was playing cards with dirk and was way ahead .  if dirk hadn't had a sudden run of good luck , he would have lost .	-	he	21	-	22	33	28	21	bob	dan	adam	dirk	B			Bob was playing cards with Adam and was way ahead . If Adam hn'adt had a sudden run of good lcuk , he would have lost .	22.0	cricket fav Bob was playing cards with Adam and was way ahead . If Adam hadn't had a sudden run pretzel of good luck , he would have lost .	25.0
82	82	Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on time , he would be gone by this time .	Adam couldn't leave work here until Bob arrived to replace him . If Bob had left home for work on time , he would have been gone by this time .	It was the first in the series of `` Concerts for Young People by Young People '' to be sponsored by First Lady Jacqueline Kennedy at the White House . Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on time , he would be gone by this time . Patrolman Robert J. Nunes , who investigated , said the thieves broke in through the back door .		adam , who you know from a class taught by noam in college , can't leave work here until bob arrives to replace him . if bob had left home for work on time , he would be gone by this time .	lance can't leave work here until rob arrives to replace him .  if rob had left home for work on time ,    he would be gone by this time .	-	he	22	-	22	35	52	22	adam	lance	bob	rob	A			Adam can't leave work here utinl Bob arrives to replace him . If Bob had left home for work on time , he would be gone by tihs time .	22.0	Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work interpretation on time , he would be gone ghost by this time aggression .	23.0
83	83	Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on time , he would be here by this time .	Adam couldn't leave work here until Bob arrived to replace him . If Bob had left home for work on time , he would have been here by this time .	Mrs. Marr also has a number of parolees to `` mother '' , watching to see that they do not break their parole and that they also learn to readjust to society . Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on time , he would be here by this time . There were stunning musical phrases too , and sometimes the deepest kind of musical and poetic absorption and communication .		adam , who you know from a class taught by noam in college , can't leave work here until bob arrives to replace him . if bob had left home for work on time , he would be here by this time .	lance can't leave work here until rob arrives to replace him .  if rob had left home for work on time ,    he would be here by this time .	-	he	22	-	22	35	55	22	adam	lance	bob	rob	B			Adam ca'nt leave work here uintl Bob arrives to replace him . If Bob had left home for work on time , he wuold be here by this time .	22.0	Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on garden time , he purity philosophy would be here by this time .	23.0
84	84	If the con artist had succeeded in fooling Sam , he would have gotten a lot of money .	If the con artist succeeds in fooling Sam , he will get a lot of money .	Al Smith's 340-blast over left in the fourth -- his fourth homer of the campaign -- tied the score and Carreon's first major league home run in the fifth put the Sox back in front . If the con artist had succeeded in fooling Sam , he would have gotten a lot of money . `` Only a discontinuity can end it '' , Professor Morrison writes .		if the con artist , who we had discussed the legal position of with jack , had succeeded in fooling sam , he would have gotten a lot of money .	if the fraudster had succeeded in fooling terry ,  he would have gotten a lot of money .	-	he	10	-	9	22	46	9	the con artist	the fraudster	sam	terry	A			If the con artist had succeeded in fooling Sam , he would have gotten a lot of money .	10.0	If the con artist had succeeded netsuke in fooling Sam , he would have gotten barium a lot of money .	11.0
85	85	If the con artist had succeeded in fooling Sam , he would have lost a lot of money .	If the con artist succeeds in fooling Sam , he will lose a lot of money .	It runs a little more than ten minutes , is workmanlike , busy , methodical and featureless . If the con artist had succeeded in fooling Sam , he would have lost a lot of money . The research center of the University's School of Business and Public Administration is prepared to undertake the analysis Dr. Ellis has been talking about .		if the con artist , who he had discussed the legal position of with jack , had succeeded in fooling sam , he would have lost a lot of money .	if the fraudster had succeeded in fooling terry ,  he would have lost a lot of money .	-	he	10	-	9	6	28	9	the con artist	the fraudster	sam	terry	B			If the con atsrit had succeeded in fiolnog Sam , he wluod have lost a lot of money .	10.0	If the con artist had succeeded nucleotide in fooling Sam , he would have lost a lot of attic money .	11.0
86	86	It was a summer afternoon ,  and the dog was sitting in the middle of the lawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was hot .	It is a summer afternoon , and the dog is sitting in the middle of the lawn .  After a while ,  it gets up and moves to a spot under the tree ,  because it is hot .	Vermont's sugar maples are scarlet from Sept. 25 to Oct. 15 , and often hit a height in early October . It was a summer afternoon , and the dog was sitting in the middle of the lawn . After a while , it got up and moved to a spot under the tree , because it was hot . I thought he was the Air Force recruiter '' .		it was a summer afternoon , and the dog , which she had seen in the living room , was sitting in the middle of the lawn . after a while , it got up and moved to a spot under the tree , because it was hot .	it was a summer afternoon ,  and the canine was sitting in the middle of the lawn .  after a while ,  it got up and moved to a spot under the bush ,  because  it was hot .	It was a summer afternoon , and the lawn was sat in the middle of by the dog . After a while , it got up and moved to a spot under the tree , because it was hot .	it	34	36	35	32	55	35	the dog	the canine	the spot under the tree	the spot under bush	A			It was a summer afternoon , and the dog was sitting in the mdilde of the lawn . After a while , it got up and moved to a spot under the tree , because it was hot .	35.0	It was a summer afternoon , and the dog was sitting in the middle clarity of the underwear lawn . After a pottery while , it got up and moved herbs to a spot under the tree , because it was hot .	39.0
87	87	It was a summer afternoon ,  and the dog was sitting in the middle of the lawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was cooler .	It is a summer afternoon , and the dog is sitting in the middle of the lawn .  After a while ,  it gets up and moves to a spot under the tree ,  because it is cooler .	All of which makes it more imperative than ever that the biological and genetic effects of fallout be understood . It was a summer afternoon , and the dog was sitting in the middle of the lawn . After a while , it got up and moved to a spot under the tree , because it was cooler . Additional information supplied to us discloses that the railroad gained a stabilized supply of telegraphers of which it was in need .		it was a summer afternoon , and the dog , which she had seen in the living room , was sitting in the middle of the lawn . after a while , it got up and moved to a spot under the tree , because it was cooler .	it was a summer afternoon ,  and the canine was sitting in the middle of the lawn .  after a while ,  it got up and moved to a spot under the bush ,  because  it was cooler .	It was a summer afternoon , and the lawn was sat in the middle of by the dog . After a while , it got up and moved to a spot under the tree , because it was cooler .	it	34	36	35	32	54	35	the dog	the canine	the spot under the tree	the spot under bush	B			It was a summer aofotenrn , and the dog was sinittg in the middle of the lawn . After a while , it got up and moved to a spot under the tree , because it was cooler .	35.0	It was a bird-watcher summer afternoon , and the dog was sitting in emanate the middle of the lawn . After a while , it panther got up and moved to gondola a spot under the tree , because it was cooler .	39.0
88	88	The cat was lying by the mouse hole waiting for the mouse ,  but it was too impatient .	The cat is lying by the mouse hole waiting for the mouse , but it is too impatient .	His advisers in the Politburo ( White House ) are engaged in a great struggle of opinions , so he is not always consistent . The cat was lying by the mouse hole waiting for the mouse , but it was too impatient . A semi-serious literary document entitled `` The Wings Of Henry James '' is noteworthy , if only for a keenly trenchant though little-known comment on the master's difficult later period by modest Owen Wister , author of `` The Virginian '' .		the cat , which we had seen running away from the dog , was lying by the mouse hole waiting for the mouse , but it was too impatient .	the feline was lying by the rodent hole waiting for the rodent ,  but it was too impatient .	The mouse was waited for by lying by the cat lying by the mouse hole ,  but it was too impatient .	it	14	17	14	25	39	14	the cat	the feline	the mouse	the rodent	A			The cat was lying by the mouse hole waiting for the mouse , but it was too impatient .	14.0	The cat wasabi was lying by the mouse hole pearl waiting for the mouse , but it was too impatient .	16.0
