text_original 	 pron 	 pron_index 	 answerA 	 answerB 	 correctAnswer
When Tommy dropped his ice cream ,  Timmy giggled ,  so father gave   him a stern look .  	  him  	 13 	  tommy  	  timmy  	  B  
As Ollie carried Tommy up the long winding steps ,   his legs ached .  	 his  	 10 	  ollie  	  tommy  	  A  
As Ollie carried Tommy up the long winding steps ,   his legs dangled .  	 his  	 10 	  ollie  	  tommy  	  B  
The father carried the sleeping boy in   his arms 	  his  	 7 	  the father  	  the boy  	  A  
The father carried the sleeping boy in   his bassinet .  	  his  	 7 	  the father  	  the boy  	  B  
The woman held the girl against  her chest  	 her  	 6 	 the woman  	 the girl  	  A  
The woman held the girl against  her will .   	 her  	 6 	 the woman  	 the girl  	  B  
Pam's parents came home and found her having sex with her boyfriend ,  Paul .   They were furious about it .  	 They  	 15 	 pam's parents  	 pam and paul  	  A  
Pam's parents came home and found her having sex with her boyfriend ,  Paul .   They were embarrassed about it .  	 They  	 15 	 pam's parents  	 pam and paul  	  B  
Dr .  Adams informed Kate that  she had retired and presented several options for future treatment .   	 she  	 6 	  dr .  adams  	  kate   	  A  
Dr .  Adams informed Kate that  she had cancer and presented several options for future treatment .   	 she  	 6 	  dr .  adams  	  kate   	  B  
Dan had to stop Bill from toying with the injured bird .  He is very compassionate .  	 He  	 12 	 dan  	 bill  	  A  
Dan had to stop Bill from toying with the injured bird .  He is very cruel .  	 He  	 12 	 dan  	 bill  	  B  
George got free tickets to the play ,  but he gave them to Eric ,  even though he was particularly eager to see it .  	 he  	 17 	  george  	  eric  	  A  
George got free tickets to the play ,  but he gave them to Eric ,  because he was particularly eager to see it .  	 he  	 16 	  george  	  eric  	  B  
George got free tickets to the play ,  but he gave them to Eric ,  because he was not particularly eager to see it .  	 he  	 16 	  george  	  eric  	  A  
Jane gave Joan candy because  she wasn't hungry .  	 she  	 5 	  jane  	  joan  	  A  
Jane gave Joan candy because  she was hungry .  	 she  	 5 	  jane  	  joan  	  B  
I tried to paint a picture of an orchard ,  with lemons in the lemon trees ,  but  they came out looking more like light bulbs .   	  they  	 18 	  lemons  	  lemon trees  	  A  
I tried to paint a picture of an orchard ,  with lemons in the lemon trees ,  but  they came out looking more like telephone poles .   	  they  	 18 	  lemons  	  lemon trees  	  B  
James asked Robert for a favor but  he was refused .   	 he  	 7 	  james  	  robert  	  A  
James asked Robert for a favor but  he refused .   	 he  	 7 	  james  	  robert  	  B  
Kirilov ceded the presidency to Shatov because   he was less popular .  	  he  	 7 	  kirilov  	  shatov  	  A  
Kirilov ceded the presidency to Shatov because   he was more popular .  	  he  	 7 	  kirilov  	  shatov  	  B  
Emma did not pass the ball to Janie although  she saw that she was open .  	 she  	 9 	  emma  	  janie  	  A  
Emma did not pass the ball to Janie although  she was open .  	 she  	 9 	  emma  	  janie  	  B  
I put the butterfly wing on the table and   it broke .  	  it  	 9 	 the butterfly wing  	  the table  	  A  
I put the heavy book on the table and   it broke .  	  it  	 9 	 the heavy book  	  the table  	  B  
Madonna fired her trainer because  she couldn't stand her boyfriend .  	 she  	 5 	  madonna  	  the trainer  	  A  
Madonna fired her trainer because  she slept with her boyfriend .  	 she  	 5 	  madonna  	  the trainer  	  B  
Madonna fired her trainer because she slept with  her boyfriend .  	 her  	 8 	  madonna  	  the trainer  	  A  
Madonna fired her trainer because she couldn't stand her boyfriend .  	 her  	 8 	  madonna  	  the trainer  	  B  
Carol believed that Rebecca suspected that   she had stolen the watch .   	  she  	 6 	  carol  	  rebecca  	  A  
Carol believed that Rebecca regretted that   she had stolen the watch .   	  she  	 6 	  carol  	  rebecca  	  B  
This book introduced Shakespeare to Ovid; it was a major influence on  his writing .  	  his  	 12 	  shakespeare  	  ovid  	  A .   
This book introduced Shakespeare to Goethe; it was a major influence on  his writing .  	  his  	 12 	  shakespeare  	  goethe  	  B .   
This book introduced Shakespeare to Ovid; it was a fine selection of  his writing .  	  his  	 12 	  shakespeare  	  ovid  	  B .   
This book introduced Shakespeare to Goethe; it was a fine selection of  his writing .  	  his  	 12 	  shakespeare  	  goethe  	  A .   
Alice looked for her friend Jade in the crowd .  Since   she alwayshas good luck ,  Alice spotted her quickly .  	  she  	 11 	  alice  	  jade  	  A .   
Alice looked for her friend Jade in the crowd .  Since   she alwayswears a red turban ,  Alice spotted her quickly .  	  she  	 11 	  alice  	  jade  	  B .   
During a game of tag ,  Ethan chased Luke because  he was "it" .  	  he  	 10 	  ethan  	  luke  	  A .   
During a game of tag ,  Ethan ran from Luke because  he was "it" .  	  he  	 11 	  ethan  	  luke  	  B .   
At the Loebner competition the judges couldn't figure out which respondentswere the chatbots because   they were so stupid .  	  they  	 14 	  the judges  	  the chatbots  	  A .   
At the Loebner competition the judges couldn't figure out which respondentswere the chatbots because   they were so advanced .  	  they  	 14 	  the judges  	  the chatbots  	  B .   
The user changed his password from "GrWQWu8JyC" toÂ "willow-towered CanopyHuntertropic wrestles" as  it was easy to forget .  	  it  	 12 	  grwqwu8jyc  	 willow-towered canopyhuntertropic wrestles  	  A .   
