text_original	text_rel_1	text_syn	text_voice_switch	pron	pron_index	pron_index_voice	pron_index_syn	pron_index_rel	answerA	answerA_syn	answerB	answerB_syn	correctAnswer	Name_A	Name_B
I saw Jim yelling at some guy in a military uniform with a huge red beard .  I don't know why he was ,  but he looked very unhappy .	i saw jim , who you had discussed ryan's sitiuation with , yelling at some guy in a military uniform with a huge red beard . i don't know why he was , but he looked very unhappy .	i saw julio yelling at some man in a military uniform with a huge red beard .  i don't know why he was ,  but he looked very unhappy .	Jim was seen by me yelling at some guy in a military uniform with a huge red beard . I don't know why he was , but he looked very unhappy .	he	21	23	21	30	jim	julio	the guy in uniform	the man in uniform	A		
I saw Jim yelling at some guy in a military uniform with a huge red beard .  I don't know who he was ,  but he looked very unhappy .	i saw jim , who you had discussed ryan's sitiuation with , yelling at some guy in a military uniform with a huge red beard . i don't know who he was , but he looked very unhappy .	i saw julio yelling at some man in a military uniform with a huge red beard .  i don't know who he was ,  but he looked very unhappy .	Jim was seen by me yelling at some guy in a military uniform with a huge red beard . I don't know who he was , but he looked very unhappy .	he	21	23	21	30	jim	julio	the guy in uniform	the man in uniform	B		
The fish ate the worm .   It was hungry .	the fish , which she had seen swim by the jellyfish , ate the worm . it was hungry .	the fish ate the roundworm .   it was hungry .	The worm was eaten by the fish . It was hungry .	It	6	8	6	16	the fish	the fish	the worm	the roundworm	A		
The fish ate the worm .   It was tasty .	the fish , which you had seen swim by the jellyfish , ate the worm . it was tasty .	the fish ate the roundworm .   it was tasty .	The worm was eaten by the fish . It was tasty .	It	6	8	6	16	the fish	the fish	the worm	the roundworm	B		
I was trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it in .	i was trying to open the lock with the key , that is mentioned in the the instruction manual , , but someone had filled the keyhole with chewing gum , and i couldn't get it in .	i was trying to open the lock with the masterkey ,  but someone had filled the hole with bubble gum ,  and i couldn't get   it in .	I was trying to open the lock with the key , but the keyhole had been filled with chewing gum by someone , and I couldn't get it in .	it	25	27	25	35	the key	the masterkey	the chewing gum	the bubble gum	A		
I was trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it out .	i was trying to open the lock with the key , that is mentioned in the the instruction manual , , but someone had filled the keyhole with chewing gum , and i couldn't get it out .	i was trying to open the lock with the masterkey ,  but someone had filled the hole with bubble gum ,  and i couldn't get   it out .	I was trying to open the lock with the key , but the keyhole had been filled with chewing gum by someone , and I couldn't get it out .	it	25	27	25	35	the key	the masterkey	the chewing gum	the bubble gum	B		
The dog chased the cat ,  which ran up a tree .    It waited at the bottom .	the dog , which you had seen barking at the bird , chased the cat , which ran up a tree . it waited at the bottom .	the canine chased the feline ,  which ran up a tree .    it waited at the bottom .	The cat was chased by the dog , which ran up a tree . It waited at the bottom .	It	12	14	12	22	the dog	the canine	the cat	the feline	A		
The dog chased the cat ,  which ran up a tree .    It waited at the top .	the dog , which she had seen barking at the bird , chased the cat , which ran up a tree . it waited at the top .	the canine chased the feline ,  which ran up a tree .    it waited at the top .	The cat was chased by the dog , which ran up a tree . It waited at the top .	It	12	14	12	22	the dog	the canine	the cat	the feline	B		
In the storm ,  the tree fell down and crashed through the roof of my house .  Now ,  I have to get   it removed .	in the storm , the tree , which she had seen in the garden , fell down and crashed through the roof of my house . now , i have to get it removed .	in the storm ,  the willow fell down and crashed through the ceiling of my house .  now ,  i have to get   it removed .	In the storm , the roof of my house was crashed through by the tree which fell down . Now , I have to get it removed .	it	23	25	23	32	the tree	the willow	the roof	the ceiling	A		
In the storm ,  the tree fell down and crashed through the roof of my house .  Now ,  I have to get   it repaired .	in the storm , the tree , which you had seen in the garden , fell down and crashed through the roof of my house . now , i have to get it repaired .	in the storm ,  the willow fell down and crashed through the ceiling of my house .  now ,  i have to get   it repaired .	In the storm , the roof of my house was crashed through by the tree which fell down . Now , I have to get it repaired .	it	23	25	23	32	the tree	the willow	the roof	the ceiling	B		
The customer walked into the bank and stabbed one of the tellers .    He was immediately taken to the police station .	the customer , which you had seen talking to the manager , walked into the bank and stabbed one of the tellers . he was immediately taken to the police station .	the client walked into the bank and stabbed one of the cashiers .    he was immediately taken to the police station .	One of the tellers was stabbed by the customer that walked into the bank . He was immediately taken to the police station .	He	13	15	13	23	the customer	the client	the teller	the cashiers	A .		
The customer walked into the bank and stabbed one of the tellers .    He was immediately taken to the hospital .	the customer , which you had seen talking to the manager , walked into the bank and stabbed one of the tellers . he was immediately taken to the hospital .	the client walked into the bank and stabbed one of the cashiers .    he was immediately taken to the hospital .	One of the tellers was stabbed by the customer that walked into the bank . He was immediately taken to the police station .	He	13	15	13	23	the customer	the client	the teller	the cashiers	B .		
John was doing research in the library when he heard a man humming and whistling .   He was very annoyed .	john , who you know from the aerobics class with that strange man , was doing research in the library when he heard a man humming and whistling . he was very annoyed .	ivan was doing research in the library when he heard a person humming and whistling .   he was very annoyed .	The man who was humming and whistling was heard by John when he was doing research in the library . He was very annoyed .	He	16	20	16	14	john	ivan	the man	a person	A		
John was doing research in the library when he heard a man humming and whistling .   He was very annoying .	john , who you know from the aerobics class with that strange man , was doing research in the library when he heard a man humming and whistling . he was very annoying .	ivan was doing research in the library when he heard a person humming and whistling .   he was very annoying .	The man who was humming and whistling was heard by John when he was doing research in the library . He was very annoying .	He	16	20	16	21	john	ivan	the man	a person	B		
John was jogging through the park when he saw a man juggling watermelons .  He was very impressed .	john , which we had seen at the aerobics class with that strange man , was jogging through the park when he saw a man juggling watermelons . he was very impressed .	ivan was jogging through the park when he saw a man juggling watermelons .  he was very impressed .	A man juggling watermelons was seen by John when he was jogging through the park . He was very impressed .	He	14	16	14	21	john	ivan	the juggler	the performer	A		
John was jogging through the park when he saw a man juggling watermelons .  He was very impressive .	john , who we know from the aerobics class with that strange man , was jogging through the park when he saw a man juggling watermelons . he was very impressive .	ivan was jogging through the park when he saw a man juggling watermelons .  he was very impressive .	A man juggling watermelons was seen by John when he was jogging through the park . He was very impressive .	He	14	16	14	20	john	ivan	the juggler	the performer	B		
Bob collapsed on the sidewalk .  Soon he saw Carl coming to help .   He was very ill .	bob , who we know from the group therapy sessions with marco , collapsed on the sidewalk . soon he saw carl coming to help . he was very ill .	rob collapsed on the sidewalk .  soon he saw ted coming to help .   he was very ill .	Bob collapsed on the sidewalk .  Soon Carl was seen coming to help .  He was very ill .	He	14	14	14	19	bob	rob	carl	ted	A		
Bob collapsed on the sidewalk .  Soon he saw Carl coming to help .   He was very concerned .	bob , which she had seen at the  group therapy sessions with marco , collapsed on the sidewalk . soon he saw carl coming to help . he was very concerned .	rob collapsed on the sidewalk .  soon he saw ted coming to help .   he was very concerned .	Bob collapsed on the sidewalk . Soon Carl was seen coming to help . He was very concerned .	He	14	14	14	20	bob	rob	carl	ted	B		
Sam and Amy are passionately in love ,  but Amy's parents are unhappy about it ,  because   they are fifteen .	sam and amy , who she knows from drinks with clara and bob , are passionately in love , but amy's parents are unhappy about it , because they are fifteen .	jay and sally are passionately in love ,  but sally's parents are unhappy about it ,  because   they are fifteen .	-	they	16	-	17	28	sam and amy	jay and sally	amy's parents	sally's parents	A		
Sam and Amy are passionately in love ,  but Amy's parents are unhappy about it ,  because   they are snobs .	sam and amy , who you know from drinks with clara and bob , are passionately in love , but amy's parents are unhappy about it , because they are snobs .	jay and sally are passionately in love ,  but sally's parents are unhappy about it ,  because   they are snobs .	-	they	16	-	17	28	sam and amy	jay and sally	amy's parents	sally's parents	B		
Mark told Pete many lies about himself ,  which Pete included in his book .   He should have been more  truthful .	mark , which you had seen on the tv show with clark , told pete many lies about himself , which pete included in his book . he should have been more truthful .	eric told richard many lies about himself ,  which richard included in his book .   he should have been more  truthful .	Pete was told many lies by Mark about himself , which Pete included in his book . He should have been more  truthful .	He	15	17	15	27	mark	eric	pete	richard	A		
Mark told Pete many lies about himself ,  which Pete included in his book .   He should have been more  skeptical .	mark , which she had seen on the tv show with clark , told pete many lies about himself , which pete included in his book . he should have been more skeptical .	eric told richard many lies about himself ,  which richard included in his book .   he should have been more  skeptical .	Pete was told many lies by Mark about himself , which Pete included in his book .  He should have been more skeptical .	He	15	17	15	27	mark	eric	pete	richard	B		
Joe has sold his house and bought a new one a few miles away .  He will be moving out of it on Thursday .	Joe has sold his house , where he and jack had lived for a long time , and bought a new one a few miles away . He will be moving out of it on Thursday .	joe has sold his mansion and bought a new one a few miles away .  he will be moving out of it on thursday .	The house has been sold by Joe and a new one a few miles away has been bought . It will be moved out of by him on Thursday .	it	20	19	21	33	the old house	the old mansion	the new house	the new mansion	A		
Joe has sold his house and bought a new one a few miles away .  He will be moving into  it on Thursday .	Joe has sold his house , where he and jack had lived for a long time , and bought a new one a few miles away . He will be moving out of it on Thursday .	joe has sold his mansion and bought a new one a few miles away .  he will be moving into  it on thursday .	The house has been sold by Joe and a new one a few miles away has been bought . It will be moved into by him on Thursday .	it	19	19	20	33	the old house	the old mansion	the new house	the new mansion	B		
Many people start to read Paul's books and can't put them down .   They are gripped because Paul writes so well .	many people , who we had discussed different literary topics with , start to read paul's books and can't put them down . they are gripped because paul writes so well .	many folk start to read cam's books and can't put them down .   they are gripped because paul writes so well .	-	They	13	-	13	23	people	folk	paul's books	cam's books	A		
Many people start to read Paul's books and can't put them down .   They are popular because Paul writes so well .	many people , who he had discussed different literary topics with , start to read paul's books and can't put them down . they are popular because paul writes so well .	many folk start to read cam's books and can't put them down .   they are popular because paul writes so well .	-	They	13	-	13	23	people	folk	paul's books	cam's books	B		
Mary took out her flute and played one of her favorite pieces . She has had it since she was a child .	Mary took out her flute , which she learned to play when she was really young , and played one of her favorite pieces . She has had it since she was a child .	mary took out her recorder and played one of her favorite passage .  shehas had it since she was a child .	The flute was taken out by Mary who played one of her favorite pieces . Shehas had it since she was a child .	it	15	17	15	28	the flute	the recorder	the piece	the passage	A		
Mary took out her flute and played one of her favorite pieces . She has loved  it since she was a child .	Mary took out her flute , which she learned to play when she was really young , and played one of her favorite pieces . She has had it since she was a child .	mary took out her recorder and played one of her favorite passage .  shehas loved  it since she was a child .	The flute was taken out by Mary who played one of her favorite pieces . Shehas loved it since she was a child .	it	15	17	15	28	the flute	the recorder	the piece	the passage	B		
Sam pulled up a chair to the piano , but  it was broken , so he had to stand instead .	Sam pulled up a chair , which had been bought along with the table , to the piano , but it was broken , so he had to stand instead .	sam pulled up a seat to the keyboard ,  but  it was broken ,  so he had to stand instead .	A chair was pulled up to the piano by Sam , but it was broken , so he had to stand instead .	it	10	12	10	20	the chair	the seat	the piano	the keyboard	A		
Sam pulled up a chair to the piano , but  it was broken , so he had to sing instead .	Sam pulled up a chair , which had been bought along with the table , to the piano , but it was broken , so he had to sing instead .	sam pulled up a seat to the keyboard ,  but  it was broken ,  so he had to sing instead .	A chair was pulled up to the piano by Sam , but it was broken , so he had to sing instead .	it	10	12	10	20	the chair	the seat	the piano	the keyboard	B		
Since it was raining ,  I carried the newspaper in my backpack to keep  it dry .	since it was raining , i carried the newspaper , that is known for publishing false news , in my backpack to keep it dry .	since it was raining ,  i carried the paper in my tote bag to keep  it dry .	Since it was raining , the newspaper was carried in my backpack to keep it dry .	it	14	14	14	23	the newspaper	the paper	the backpack	the tote bag	A		
Since it was raining ,  I carried the newspaper over my backpack to keep  it dry .	since it was raining , i carried the newspaper , that is known for publishing false news , over my backpack to keep it dry .	since it was raining ,  i carried the paper over my tote bag to keep  it dry .	Since it was raining , the newspaper was carried over my backpack to keep it dry .	it	14	14	14	23	the newspaper	the paper	the backpack	the tote bag	B		
Sara borrowed the book from the library because she needs it for an article she is working on . She reads  it when she gets home from work .	sara borrowed the book , that is known for being a seminal publication that is commonly cited by work in the field , from the library because she needs it for an article she is working on . she reads it when she gets home from work .	sara borrowed the reference from the library because she needs it for an assignment she is working on .  she reads  it when she gets home from work .	The book was borrowed by Sara from the library because she needs it for an article she is working on . It is read by her when she gets home from work .	it	20	21	21	29	the book	the reference	the article	the assignment	A		
Sara borrowed the book from the library because she needs it for an article she is working on . She writes  it when she gets home from work .	sara borrowed the book , that is known for being a seminal publication that is commonly cited by work in the field , from the library because she needs it for an article she is working on . she writes it when she gets home from work .	sara borrowed the reference from the library because she needs it for an assignment she is working on .  she writes  it when she gets home from work .	The book was borrowed by Sara from the library because she needs it for an article she is working on . It is written by her when she gets home from work .	it	20	21	21	29	the book	the reference	the article	the assignment	B		
This morning , Joey built a sand castle on the beach , and put a toy flag in the highest tower , but this afternoon the tide knocked it down .	This morning , Joey built a sand castle ,  which was decorated with a stone and a pebble , on the beach , and put a toy flag in the highest tower , but this afternoon the tide knocked it down .	this morning , joey built a sand castle on the beach ,  and put a toy flag in the highest tower ,  but this afternoon the tide knocked it down .	This morning , a sand castle was built on the beach by Joey , and a toy flag put in the highest tower , but this afternoon it was knocked down by the tide .	it	28	27	28	39	the sand castle	-	the flag	-	A		
This morning , Joey built a sand castle on the beach ,  and put a toy flag in the highest tower ,  but this afternoon the wind knocked it down .	This morning , Joey built a sand castle , which was decorated with a stone and a pebble , on the beach , and put a toy flag in the highest tower , but this afternoon the wind knocked it down .	this morning , joey built a sand castle on the beach ,  and put a toy flag in the highest tower ,  but this afternoon the wind knocked it down .	This morning , a sand castle was built on the beach by Joey , and a toy flag put in the highest tower , but this afternoon it was knocked down by the wind .	it	28	27	28	39	the sand castle	-	the flag	-	B		
Jane knocked on Susan's door ,  but there was no answer . She was disappointed .	jane , who you know from nora's birthday party , knocked on susan's door , but there was no answer . she was disappointed .	cory knocked on dolly's door ,  but there was no answer . she was disappointed .	Susan's door was knocked on by Susan , but there was no answer . She was disappointed .	She	12	14	12	21	jane	cory	susan	dolly	A		
Jane knocked on Susan's door ,  but there was no answer . She was out .	jane , which he had seen talking to polly , knocked on susan's door , but there was no answer . she was out .	cory knocked on dolly's door ,  but there was no answer . she was out .	Susan's door was knocked on by Susan , but there was no answer . She was out .	She	12	14	12	21	jane	cory	susan	dolly	B		
Jane knocked on the door ,  and Susan answered it .    She invited her to come out .	jane , which he had seen talking to polly , knocked on the door , and susan answered it . she invited her to come out .	cory knocked on the door ,  and dolly answered it .    she invited her to come out .	The door was knocked on by Jane , and answered buy Susan answered . She invited her to come out .	She	11	14	11	17	jane	cory	susan	dolly	A		
Jane knocked on the door ,  and Susan answered it .    She invited her to come in .	jane , which you had seen talking to polly , knocked on the door , and susan answered it . she invited her to come in .	cory knocked on the door ,  and dolly answered it .    she invited her to come in .	The door was knocked on by Jane , and answered buy Susan answered . She invited her to come in .	She	11	14	11	20	jane	cory	susan	dolly	B		
Sam took French classes from Adam ,  because  he was eager to speak it fluently .	sam , who you know from the maths course that eric taught , took french classes from adam , because he was eager to speak it fluently .	todd took french classes from rick ,  because  he was eager to speak it fluently .	Sam took French classes from Adam , because he was eager to speak it fluently .	he	8	8	8	20	sam	todd	adam	rick	A		
Sam took French classes from Adam ,  because  he was known to speak it fluently .	sam , who you know from the maths course that eric taught , took french classes from adam , because he was known to speak it fluently .	todd took french classes from rick ,  because  he was known to speak it fluently .	Sam took French classes from Adam , because he was known to speak it fluently .	he	8	8	8	3	sam	todd	adam	rick	B		
The path to the lake was blocked ,  so we couldn't use  it .	the path , that is close to the garden with the swimming pool , to the lake was blocked , so we couldn't use it .	the road to the pool was blocked ,  so we couldn't use  it .	The path to the lake was blocked , so it couldn't be used by us .	it	12	9	12	24	the path	the road	the lake	the pool	A		
The path to the lake was blocked ,  so we couldn't reach  it .	the path , that is close to that is close to the garden with the swimming pool , to the lake was blocked , so we couldn't reach it .	the road to the pool was blocked ,  so we couldn't reach  it .	The path to the lake was blocked , so it couldn't be reached by us .	it	12	9	12	28	the path	the road	the lake	the pool	B		
The sun was covered by a thick cloud all morning ,  but luckily ,  by the time the picnic started , it was out .	the sun , which we had seen shining the middle of the sky , was covered by a thick cloud all morning , but luckily , by the time the picnic started , it was out .	the sun was covered by a thick fog all morning ,  but luckily ,  by the time the picnic started , it was out .	-	it	20	-	21	33	the sun	the sun	the cloud	the fog	A		
The sun was covered by a thick cloud all morning ,  but luckily ,  by the time the picnic started , it was gone .	the sun , which you had seen shining the middle of the sky , was covered by a thick cloud all morning , but luckily , by the time the picnic started , it was gone .	the sun was covered by a thick fog all morning ,  but luckily ,  by the time the picnic started , it was gone .	-	it	20	-	21	33	the sun	the sun	the cloud	the fog	B		
We went to the lake ,  because a shark had been seen at the ocean beach ,  so   it was a safer place to swim .	we went to the lake , that is close to the swimming pool , , because a shark had been seen at the ocean beach , so it was a safer place to swim .	we went to the lagoon ,  because a shark had been seen at the beach ,  so   it was a safer place to swim .	The lake was gone to by us , because a shark had been seen at the ocean beach , so it was a safer place to swim .	it	18	20	17	27	the lake	the lagoon	the ocean beach	the beach	A		
We went to the lake ,  because a shark had been seen at the ocean beach ,  so   it was a dangerous place to swim .	we went to the lake , that is close to the swimming pool , , because a shark had been seen at the ocean beach , so it was a dangerous place to swim .	we went to the lagoon ,  because a shark had been seen at the beach ,  so   it was a dangerous place to swim .	The lake was gone to by us , because a shark had been seen at the ocean beach , so it was a dangerous place to swim .	it	18	20	17	27	the lake	the lagoon	the ocean beach	the beach	B		
Sam tried to paint a picture of shepherds with sheep ,  but   they ended up looking more like golfers .	Sam tried to paint a picture of shepherds , who were out in the wilderness , with sheep , but they ended up looking more like golfers .	sam tried to paint a picture of herders with cattle ,  but   they ended up looking more like golfers .	-	they	12	-	12	20	the shepherds	the herders	the sheep	the cattle	A		
Sam tried to paint a picture of shepherds with sheep ,  but   they ended up looking more like dogs .	Sam tried to paint a picture of shepherds , who were out in the wilderness , with sheep , but they ended up looking more like dogs .	sam tried to paint a picture of herders with cattle ,  but   they ended up looking more like dogs .	-	they	12	-	12	20	the shepherds	the herders	the sheep	the cattle	B		
Mary tucked her daughter Anne into bed ,  so that   she could work .	mary , who you know from the group therapy sessions at stephanie's , tucked her daughter anne into bed , so that she could work .	sara tucked her daughter anne into bed ,  so that   she could work .	The daughter , Anne , was tucked into bed by Anne , so that she could work .	she	10	14	10	22	mary	sara	mary's daughter	sara's daughter	A		
Mary tucked her daughter Anne into bed ,  so that   she could sleep .	mary , who you know from the sleep therapy sessions with pam , tucked her daughter anne into bed , so that she could sleep .	sara tucked her daughter anne into bed ,  so that   she could sleep .	The daughter , Anne , was tucked into bed by Anne , so that she could sleep .	she	10	14	10	22	mary	sara	mary's daughter	sara's daughter	B		
Fred and Alice had very warm down coats ,  but  they were not prepared for the cold in Alaska .	fred and alice , who he knows from the sleep therapy sessions with pam , had very warm down coats , but they were not prepared for the cold in alaska .	patrick and cora had very warm down jackets ,  but  they were not prepared for the cold in alaska .	-	they	10	-	10	22	fred and alice	patrick and cora	coats	jackets	A		
Fred and Alice had very warm down coats ,  but  they were not enough for the cold in Alaska .	fred and alice , who he had discussed winter clothes with , had very warm down coats , but they were not enough for the cold in alaska .	patrick and cora had very warm down jackets ,  but  they were not enough for the cold in alaska .	-	they	10	-	10	19	fred and alice	patrick and cora	coats	jackets	B		
Thomson visited Cooper's grave in 1765 .  At that date  he had been travelling for five years .	thomson , who you know from a book about jackson's contemporaries , visited cooper's grave in 1765 . at that date he had been travelling for five years .	johnson visited drake's grave in 1765 .  at that date  he had been travelling for five years .	Cooper's grave was visited by Thomson in 1765 . At that date he had been travelling for five years .	he	10	12	10	21	thomson	johnson	cooper	drake	A		
Thomson visited Cooper's grave in 1765 .  At that date  he had been dead for five years .	thomson , who you know from a book about jackson's contemporaries , visited cooper's grave in 1765 . at that date he had been dead for five years .	johnson visited drake's grave in 1765 .  at that date  he had been dead for five years .	Cooper's grave was visited by Thomson in 1765 . At that date he had been dead for five years .	he	10	12	10	3	thomson	johnson	cooper	drake	B		
Jackson was greatly influenced by Arnold ,  though   he lived two centuries later .	jackson , who we know from a book about jackson's contemporaries , was greatly influenced by arnold , though he lived two centuries later .	travis was greatly influenced by bailey ,  though   he lived two centuries later .	Arnold greatly influenced Jackson , though he lived two centuries later .	he	8	6	8	19	jackson	travis	arnold	bailey	A		
Jackson was greatly influenced by Arnold ,  though   he lived two centuries earlier .	jackson , who she had discussed with blaire and carlo , was greatly influenced by arnold , though he lived two centuries earlier .	travis was greatly influenced by bailey ,  though   he lived two centuries earlier .	Arnold greatly influenced Jackson , though he lived two centuries earlier .	he	8	6	8	18	jackson	travis	arnold	bailey	B		
I can't cut that tree down with that axe ;  it is too thick .	I can't cut that tree , which is known for being one of the oldest trees in this part of town , down with that axe ; it is too thick .	i can't cut that bush down with that hatchet ;  it is too thick .	The tree could not be cut with that axe by me ;  it is too thick .	it	10	12	10	27	the tree	the bush	the axe	the hatchet	A		
I can't cut that tree down with that axe ;  it is too small .	I can't cut that tree , which is known for being one of the oldest trees in this part of town , down with that axe ; it is too small .	i can't cut that bush down with that hatchet ;  it is too small .	The tree could not be cut with that axe by me ; it is too small .	it	10	12	10	27	the tree	the bush	the axe	the hatchet	B		
The foxes are getting in at night and attacking the chickens .  I shall have to kill  them .	the foxes , which you had seen roaming around the barn where the horses are , are getting in at night and attacking the chickens . i shall have to kill them .	the mutts are getting in at night and attacking the hens .  i shall have to kill  them .	The chickens are being attacked by the foxes which are getting in at night . I shall have to kill them .	them	16	20	17	31	the foxes	the mutts	the chickens	the hens	A		
The foxes are getting in at night and attacking the chickens .  I shall have to guard  them .	the foxes , which he had seen roaming around the barn where the horses are , are getting in at night and attacking the chickens . i shall have to guard them .	the mutts are getting in at night and attacking the hens .  i shall have to guard  them .	The chickens are being attacked by the foxes which are getting in at night . I shall have to guard them .	them	16	20	17	31	the foxes	the mutts	the chickens	the hens	B		
The foxes are getting in at night and attacking the chickens .    They have gotten very bold .	the foxes , which he had seen roaming around the barn where the horses are , are getting in at night and attacking the chickens . they have gotten very bold .	the mutts are getting in at night and attacking the hens .    they have gotten very bold .	The chickens are being attacked by the foxes which are getting in at night .  They have gotten very bold .	They	12	15	12	26	the foxes	the mutts	the chickens	the hens	A		
The foxes are getting in at night and attacking the chickens .    They have gotten very nervous .	the foxes , which she had seen roaming around the barn where the horses are , are getting in at night and attacking the chickens . they have gotten very nervous .	the mutts are getting in at night and attacking the hens .    they have gotten very nervous .	The chickens are being attacked by the foxes which are getting in at night .  They have gotten very nervous .	They	12	15	12	26	the foxes	the mutts	the chickens	the hens	B		
Fred covered his eyes with his hands ,  because the wind was blowing sand around .  He opened  them when the wind stopped .	fred covered his eyes , which you had seen covered in gauze when they were infected , with his hands , because the wind was blowing sand around . he opened them when the wind stopped .	fred covered his eyes with his palms ,  because the wind was blowing sand around .  he opened  them when the wind stopped .	Fred's eyes were covered with his hands , because the wind was blowing sand around . He opened them when the wind stopped .	them	17	18	18	31	his eyes	his eyes	his hands	his palms	A		
Fred covered his eyes with his hands ,  because the wind was blowing sandaround .  He lowered  them when the wind stopped .	fred covered his eyes , which you had seen covered in gauze when they were infected , with his hands , because the wind was blowing sandaround . he lowered them when the wind stopped .	fred covered his eyes with his palms ,  because the wind was blowing sandaround .  he lowered  them when the wind stopped .	Fred's eyes were covered with his hands , because the wind was blowing sand around . He opened them and the wind stopped .	them	17	18	17	30	his eyes	his eyes	his hands	his palms	B		
The actress used to be named Terpsichore ,  but she changed it to Tina a few years ago ,  because she figured   it was too hard to pronounce .	the actress used to be named terpsichore , which he had seen in an old manuscript about Hephaestus , but she changed it to tina a few years ago , because she figured it was too hard to pronounce .	the actress used to be named aphrodite ,  but she changed it to abby a few years ago ,  because she figured   it was too hard to pronounce .	The actress used to be named Terpsichore , but it was changed to Tina a few years ago , because she figured it was too hard to pronounce .	it	22	22	22	23	terpsichore	aphrodite	tina	abby	A		
The actress used to be named Terpsichore ,  but she changed it to Tina a few years ago ,  because she figured   it was easier to pronounce .	the actress used to be named terpsichore , which he had seen in an old manuscript about Hephaestus , but she changed it to tina a few years ago , because she figured it was easier to pronounce .	the actress used to be named aphrodite ,  but she changed it to abby a few years ago ,  because she figured   it was easier to pronounce .	The actress used to be named Terpsichore , but it was changed to Tina a few years ago , because she figured it was too easier to pronounce .	it	22	22	22	23	terpsichore	aphrodite	tina	abby	B		
Fred watched TV while George went out to buy groceries .  After an hour he got up .	fred , who you know from last week's sit down with angelo , watched tv while george went out to buy groceries . after an hour he got up .	perry watched tv while jerold went out to buy groceries .  after an hour he got up .	TV was watched by Fred while George went out to buy groceries .  After an hour he got up .	he	14	16	14	26	fred	perry	george	jerold	A		
Fred watched TV while George went out to buy groceries .  After an hour he got back .	fred , who you know from last week's sit down with angelo , watched tv while george went out to buy groceries . after an hour he got back .	perry watched tv while jerold went out to buy groceries .  after an hour he got back .	TV was watched by Fred while George went out to buy groceries . After an hour he got back .	he	14	16	14	26	fred	perry	george	jerold	B		
Fred was supposed to run the dishwasher ,  but he put it off ,   because he wanted to watch TV .  But the show turned out to be boring ,  so he changed his mind and turned   it on .	fred was supposed to run the dishwasher , that is known for breaking down when the washing machine is also used , , but he put it off , because he wanted to watch tv . but the show turned out to be boring , so he changed his mind and turned it on .	fred was supposed to run the dish washing machine ,  but he put it off ,   because he wanted to watch television .  but the show turned out to be boring ,  so he changed his mind and turned   it on .	The dishwasher was supposed to be run by Fred , but it was put off by him , because he wanted to watch TV .  But the show turned out to be boring ,  so he changed his mind and turned it on .	it	35	41	39	26	the dishwasher	the dish washing machine	the tv	the television	A		
Fred was supposed to run the dishwasher ,  but he put it off ,   because he wanted to watch TV .  But the show turned out to be boring ,  so he changed his mind and turned   it off .	fred was supposed to run the dishwasher , that is known for breaking down when the washing machine is also used , , but he put it off , because he wanted to watch tv . but the show turned out to be boring , so he changed his mind and turned it off .	fred was supposed to run the dish washing machine ,  but he put it off ,   because he wanted to watch television .  but the show turned out to be boring ,  so he changed his mind and turned   it off .	The dishwasher was supposed to be run by Fred , but it was put off by him , because he wanted to watch TV . But the show turned out to be boring , so he changed his mind and turned it off .	it	35	41	39	26	the dishwasher	the dish washing machine	the tv	the television	B		
Fred is the only man still alive who remembers my great-grandfather .   He is a remarkable man .	fred , who we know from the gathering where todd took us last week , is the only man still alive who remembers my great-grandfather . he is a remarkable man .	cosmo is the only man still alive who remembers my great-grandpa .   he is a remarkable man .	-	He	12	-	12	26	fred	cosmo	my great-grandfather	my great-grandpa	A		
Fred is the only man still alive who remembers my great-grandfather .   He was a remarkable man .	fred , who we know from the gathering where todd took us last week , is the only man still alive who remembers my great-grandfather . he was a remarkable man .	cosmo is the only man still alive who remembers my great-grandpa .   he was a remarkable man .	-	He	12	-	12	26	fred	cosmo	my great-grandfather	my great-grandpa	B		
Fred is the only man alive who still remembers my father as an infant . When Fred first saw my father ,   he was twelve years old .	fred , who you know from the gathering where todd took us last week , is the only man alive who still remembers my father as an infant . when fred first saw my father , he was twelve years old .	cosmo is the only man alive who still remembers my old man as an infant . when cosmo first saw my old man ,   he was twelve years old .	-	he	22	-	24	36	fred	cosmo	my father	my old man	A		
Fred is the only man alive who still remembers my father as an infant . When Fred first saw my father ,   he was twelve months old .	fred , who we know from the gathering where todd took us last week , is the only man alive who still remembers my father as an infant . when fred first saw my father , he was twelve months old .	cosmo is the only man alive who still remembers my old man as an infant . when cosmo first saw my old man ,   he was twelve months old .	-	he	22	-	24	36	fred	cosmo	my father	my old man	B		
In July ,  Kamtchatka declared war on Yakutsk .  Since Yakutsk's army was much better equipped and ten times larger ,    they were defeated within weeks .	In July , Kamtchatka , which is located near the southernmost part of Leraka , declared war on Yakutsk . Since Yakutsk's army was much better equipped and ten times larger , they were defeated within weeks .	in july , yelizovo declared war on kapitonovka .  since kapitonovka's army was much better equipped and ten times larger ,    they were defeated within weeks .	In July , war was declared by Kamtchatka on Yakutsk . Since Yakutsk's army was much better equipped and ten times larger , they were defeated within weeks .	they	21	23	21	32	kamchatka	yelizovo	yakutsk	kapitonovka	A		
