text_original	text_tense	text_random_context	text_rel_clause	text_voice	text_syn	text_gender	text_number	text_scrambled	text_adverb	pair_number	discrim_word	answer_a_gender	answer_b_gender	answer_a_number	answer_b_number	text_freqnoun	pron	pron_gender	pron_number	pron_index	pron_index_adverb	pron_index_context	pron_index_number	pron_index_gender	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_tense	pron_index_scrambled	pron_index_freqnoun	answer_a	answer_b	answer_a_syn	answer_b_syn	correct_answer	associative	switchable
Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on time , he would be gone by this time .	Adam couldn't leave work here until Bob arrived to replace him . If Bob had left home for work on time , he would have been gone by this time .	Adam hates his work on the graveyard shift . Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on time , he would be gone by this time . He has been dreaming of his bed for hours now .	adam , whom you know from a class taught by noam in college , can't leave work here until bob arrives to replace him . if bob had left home for work on time , he would be gone by this time .	-	lance can't leave work here until rob arrives to replace him .  if rob had left home for work on time ,    he would be gone by this time .	Emma can't leave work here until Anne arrives to replace her . If Anne had left home for work on time , she would be gone by this time .	Adam and John can't leave work here until Bob and Steve arrive to replace them . If Bob and Steve had left home for work on time , they would be gone by this time .	Adam can't leave work here utinl Bob arrives to replace him . If Bob had left home for work on time , he would be gone by tihs time .	Adam can't really leave work here until Bob arrives to replace him . If Bob had actually left home for work on time , he would be gone by this time .	41	gone	emma	anne	adam and john	bob and steve	Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work interpretation on time , he would be gone ghost by this time aggression .	he	she	they	22	24	31	28	22	-	22	35	22	22	23	adam	bob	lance	rob	A	0	1
Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on time , he would be here by this time .	Adam couldn't leave work here until Bob arrived to replace him . If Bob had left home for work on time , he would have been here by this time .	Adam had to work an extra shift because Steve was ill . Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on time , he would be here by this time . It's a shame Bob is lazy .	adam , whom you know from a class taught by noam in college , can't leave work here until bob arrives to replace him . if bob had left home for work on time , he would be here by this time .	-	lance can't leave work here until rob arrives to replace him .  if rob had left home for work on time ,    he would be here by this time .	Emma can't leave work here until Anne arrives to replace her . If Anne had left home for work on time , she would be here by this time .	Adam and John can't leave work here until Bob and Steve arrive to replace them . If Bob and Steve had left home for work on time , they would be here by this time .	Adam ca'nt leave work here uintl Bob arrives to replace him . If Bob had left home for work on time , he wuold be here by this time .	Adam can't really leave work here until Bob arrives to replace him . If Bob had actually left home for work on time , he would be here by this time .	41	here	emma	anne	adam and john	bob and steve	Adam can't leave work here until Bob arrives to replace him . If Bob had left home for work on garden time , he purity philosophy would be here by this time .	he	she	they	22	24	34	28	22	-	22	35	22	22	23	adam	bob	lance	rob	B	0	1
If the con artist had succeeded in fooling Sam , he would have gotten a lot of money .	If the con artist succeeds in fooling Sam , he will get a lot of money .	Sam was quite gullible . If the con artist had succeeded in fooling Sam , he would have gotten a lot of money . Sam had learnt from his past mistakes , however .	if the con artist , whom we had discussed the legal position of with jack , had succeeded in fooling sam , he would have gotten a lot of money .	-	if the fraudster had succeeded in fooling terry ,  he would have gotten a lot of money .	If the con artist had succeeded in fooling Joan , she would have gotten a lot of money .	If the con artists had succeeded in fooling Sam and Julian , they would have gotten a lot of money .	If the con artist had succeeded in fooling Sam , he would have gotten a lot of money .	If the con artist had repeatedly succeeded in fooling Sam , he would have gotten a lot of money .	42	gotten	the con artist	joan	the con artists	sam and julian	If the con artist had succeeded netsuke in fooling Sam , he would have gotten barium a lot of money .	he	she	they	10	11	15	12	10	-	9	22	9	10	11	the con artist	sam	the fraudster	terry	A	0	0
If the con artist had succeeded in fooling Sam , he would have lost a lot of money .	If the con artist succeeds in fooling Sam , he will lose a lot of money .	Sam had almost bought into the pyramid scheme . If the con artist had succeeded in fooling Sam , he would have lost a lot of money . Thankfully , Sam's friends warned him about it .	if the con artist , whom he had discussed the legal position of with jack , had succeeded in fooling sam , he would have lost a lot of money .	-	if the fraudster had succeeded in fooling terry ,  he would have lost a lot of money .	If the con artist had succeeded in fooling Joan , she would have lost a lot of money .	If the con artists had succeeded in fooling Sam and Julian , they would have lost a lot of money .	If the con atsrit had succeeded in fiolnog Sam , he wluod have lost a lot of money .	If the con artist had repeatedly succeeded in fooling Sam , he would have lost a lot of money .	42	lost	the con artist	joan	the con artists	sam and julian	If the con artist had succeeded nucleotide in fooling Sam , he would have lost a lot of attic money .	he	she	they	10	11	19	12	10	-	9	22	9	10	11	the con artist	sam	the fraudster	terry	B	0	0
It was a summer afternoon ,  and the dog was sitting in the middle of the lawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was hot .	It is a summer afternoon , and the dog is sitting in the middle of the lawn .  After a while ,  it gets up and moves to a spot under the tree ,  because it is hot .	The weather was warmer than it had been in years . It was a summer afternoon ,  and the dog was sitting in the middle of the lawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was hot . Unfortunately , it didn't help much . 	it was a summer afternoon , and the dog , which she had seen in the living room , was sitting in the middle of the lawn . after a while , it got up and moved to a spot under the tree , because it was hot .	It was a summer afternoon , and the lawn was sat in the middle of by the dog . After a while , it got up and moved to a spot under the tree , because it was hot .	it was a summer afternoon ,  and the canine was sitting in the middle of the lawn .  after a while ,  it got up and moved to a spot under the bush ,  because  it was hot .	-	-	It was a summer afternoon , and the dog was sitting in the mdilde of the lawn . After a while , it got up and moved to a spot under the tree , because it was hot .	It was a summer afternoon ,  and the dog was lazily sitting in the middle of the lawn .  After a while , it slowly got up and moved to a spot under the tree ,  because  it was hot .	43	hot	-	-	-	-	It was a summer afternoon , and the dog was sitting in the middle clarity of the underwear lawn . After a pottery while , it got up and moved herbs to a spot under the tree , because it was hot .	it	-	they	34	36	45	-	34	36	45	32	35	35	39	the dog	the spot under the tree	the canine	the spot under bush	A	0	0
It was a summer afternoon ,  and the dog was sitting in the middle of the lawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was cooler .	It is a summer afternoon , and the dog is sitting in the middle of the lawn .  After a while ,  it gets up and moves to a spot under the tree ,  because it is cooler .	The lawn was getting quite warm in the afternoon sun . It was a summer afternoon ,  and the dog was sitting in the middle of the lawn .  After a while ,  it got up and moved to a spot under the tree ,  because  it was cooler . Unfortunately , it was only a matter of time before that spot got really warm too .	it was a summer afternoon , and the dog , which she had seen in the living room , was sitting in the middle of the lawn . after a while , it got up and moved to a spot under the tree , because it was cooler .	It was a summer afternoon , and the lawn was sat in the middle of by the dog . After a while , it got up and moved to a spot under the tree , because it was cooler .	it was a summer afternoon ,  and the canine was sitting in the middle of the lawn .  after a while ,  it got up and moved to a spot under the bush ,  because  it was cooler .	-	-	It was a summer aofotenrn , and the dog was sinittg in the middle of the lawn . After a while , it got up and moved to a spot under the tree , because it was cooler .	It was a summer afternoon ,  and the dog was lazily sitting in the middle of the lawn .  After a while , it slowly got up and moved to a spot under the tree ,  because  it was cooler .	43	cooler	-	-	-	-	It was a bird-watcher summer afternoon , and the dog was sitting in emanate the middle of the lawn . After a while , it panther got up and moved to gondola a spot under the tree , because it was cooler .	it	-	they	34	36	45	-	34	36	45	32	35	35	39	the dog	the spot under the tree	the canine	the spot under bush	B	1	0
The cat was lying by the mouse hole waiting for the mouse ,  but it was too impatient .	The cat is lying by the mouse hole waiting for the mouse , but it is too impatient .	The cat's predatory instincts had kicked in . The cat was lying by the mouse hole waiting for the mouse ,  but it was too impatient . It moved on , looking for the next mouse .	the cat , which we had seen running away from the dog , was lying by the mouse hole waiting for the mouse , but it was too impatient .	The mouse was waited for by the cat lying by the mouse hole ,  but it was too impatient .	the feline was lying by the rodent hole waiting for the rodent ,  but it was too impatient .	-	The cats were lying by the mouse holes waiting for the mice ,  but they were too impatient .	The cat was lying by the mouse hole waiting for the mouse , but it was too impatient .	The cat was patiently lying by the mouse hole waiting for the mouse ,  but it was too impatient .	44	impatient	-	-	the cats	the mice	The cat wasabi was lying by the mouse hole pearl waiting for the mouse , but it was too impatient .	it	-	they	14	15	22	14	14	15	14	25	14	14	16	the cat	the mouse	the feline	the rodent	A	0	0
The cat was lying by the mouse hole waiting for the mouse ,  but it was too cautious .	The cat is lying by the mouse hole waiting for the mouse , but it is too cautious .	The farmer decided to get a good mouser to deal with his infestation . The cat was lying by the mouse hole waiting for the mouse ,  but it was too cautious . The farmer was very frustrated .	the cat , which she had seen running away from the dog , was lying by the mouse hole waiting for the mouse , but it was too cautious .	The mouse was waited for by the cat lying by the mouse hole , but it was too cautious .	the feline was lying by the rodent hole waiting for the rodent ,  but it was too cautious .	-	The cats were lying by the mouse holes waiting for the mice ,  but they were too cautious .	The cat was lniyg by the mouse hole waiting for the msoue , but it was too cuatious .	The cat was patiently lying by the mouse hole waiting for the mouse ,  but it was too cautious .	44	cautious	-	-	the cats	the mice	The cat was dealer lying by doctor the mouse hole waiting for the mouse , but it was too cautious .	it	-	they	14	15	28	14	14	15	14	25	14	14	16	the cat	the mouse	the feline	the rodent	B	0	0
Anne gave birth to a daughter last month . She is a very charming woman .	Anne is giving birth to a daughter next month . She is a very charming woman .	Anne had been on maternity leave for a while . Anne gave birth to a daughter last month . She is a very charming woman . We hope she'll come back soon , we miss her .	anne , whom you know from the yoga class at patty's  , gave birth to a daughter last month . she is a very charming woman .	A daughter was given birth to by Anne last month . She is a very charming woman .	patty gave birth to a daughter last month . she is a very charming woman .	Bob gave birth to a son last month . He is a very charming man .	Anne and Julia gave birth to daughters last month . They are very charming women .	Anne gave birth to a daughter last month . She is a very cnmiharg wamon .	Anne supposedly gave birth to a daughter last month . She is a very charming woman .	45	woman	bob	bob's son	anne and julia	anne and julia's daughters	Anne gave birth to a daughter prelude last month economy . She is a very charming woman .	She	he	they	9	10	19	10	9	11	9	3	9	9	11	anne	anne's daughter	patty	patty's daughter	A	0	0
Anne gave birth to a daughter last month . She is a very charming baby .	Anne is giving birth to a daughter next month . She is a very charming baby .	I took some time off work to visit my friend Anne . Anne gave birth to a daughter last month . She is a very charming baby . As far as babies go , anyway .	anne , whom we know from the yoga class at patty's  , gave birth to a daughter last month . she is a very charming baby .	A daughter was given birth to by Anne last month . She is a very charming baby .	patty gave birth to a daughter last month . she is a very charming baby .	Bob gave birth to a son last month . He is a very charming baby .	Anne and Julia gave birth to daughters last month . They are very charming babies .	Anne gave btrih to a daughter last month . She is a very cmhirang bbay .	Anne supposedly gave birth to a daughter last month . She is a very charming baby .	45	baby	bob	bob's son	anne and julia	anne and julia's daughters	Anne gave birth to a daughter last month . She is a very charming baby strait calico .	She	he	they	9	10	21	10	9	11	9	20	9	9	9	anne	anne's daughter	patty	patty's daughter	B	0	0
Alice tried frantically to stop her daughter from chatting at the party , leaving us to wonder why she was behaving so strangely .	Alice is trying frantically to stop her daughter from chatting at the party , leaving us to wonder why she is behaving so strangely .	Alice was a bit of a control freak . Alice tried frantically to stop her daughter from chatting at the party , leaving us to wonder why she was behaving so strangely . We all felt bad for her daughter . 	alice , whom you know from the dinner party at ella's , tried frantically to stop her daughter from chatting at the party , leaving us to wonder why she was behaving so strangely .	-	cora tried frantically to stop her daughter from chatting at the party ,  leaving us to wonder why she was behaving so strangely .	Jack tried frantically to stop his son from chatting at the party , leaving us to wonder why he was behaving so strangely .	Alice and Lucy tried frantically to stop their daughters from chatting at the party , leaving us to wonder why they were behaving so strangely .	Alice tried fltarlcaniy to stop her dguaehtr from chatting at the party , leaving us to wonedr why she was bvihaneg so santregly .	-	46	chatting	jack	jack's son	alice and lucy	alice and lucy's daughters	Alice tried frantically to stop her daughter from chatting at counter-force the party , leaving us to wonder why spread she was snowboarding behaving so strangely .	she	he	they	17	-	26	20	17	-	18	29	18	18	20	alice	alice's daughter	Cora	Cora's daughter	A	0	0
Alice tried frantically to stop her daughter from barking at the party , leaving us to wonder why she was behaving so strangely .	Alice is trying frantically to stop her daughter from barking at the party , leaving us to wonder why she is behaving so strangely .	Alice's daughter loved attention . Alice tried frantically to stop her daughter from barking at the party , leaving us to wonder why she was behaving so strangely . It must have been awfully embarrassing for Alice .	alice , whom you know from the dinner party at ella's , tried frantically to stop her daughter from barking at the party , leaving us to wonder why she was behaving so strangely .	-	cora tried frantically to stop her daughter from barking at the party ,  leaving us to wonder why she was behaving so strangely .	Jack tried frantically to stop his son from barking at the party , leaving us to wonder why he was behaving so strangely .	Alice and Lucy tried frantically to stop their daughters from barking at the party , leaving us to wonder why they were behaving so strangely .	Alice tried frantically to stop her daughter from barking at the party , leaving us to wonder why she was behaving so strangely .	-	46	barking	jack	jack's son	alice and lucy	alice and lucy's daughters	Alice tried frantically to commuter stop her daughter from barking girl at battalion the party , leaving us to wonder why she was behaving so strangely .	she	he	they	17	-	22	20	17	-	18	29	18	18	21	alice	alice's daughter	Cora	Cora's daughter	B	0	0
I saw Jim yelling at some guy in a military uniform with a huge red beard .  I don't know why he was ,  but he looked very unhappy .	I see Jim yelling at some guy in a military uniform with a huge red beard .  I don't know why he is ,  but he looks very unhappy .	Jim was a committed anti-interventionist . I saw Jim yelling at some guy in a military uniform with a huge red beard .  I don't know why he was ,  but he looked very unhappy . It must have been anger at the invasion of Afghanistan . 	i saw jim , whom you had discussed ryan's sitiuation with , yelling at some guy in a military uniform with a huge red beard . i don't know why he was , but he looked very unhappy .	Jim was seen by me yelling at some guy in a military uniform with a huge red beard . I don't know why he was , but he looked very unhappy .	i saw julio yelling at some man in a military uniform with a huge red beard .  i don't know why he was ,  but he looked very unhappy .	I saw Anne yelling at some lady in a military uniform with a huge red bag .  I don't know why she was ,  but she looked very unhappy .	I saw Jim and Bob yelling at some guys in military uniform with huge red beards .  I don't know why they were ,  but they looked very unhappy .	I saw Jim yelling at some guy in a military uniform with a huge red beard . I don't know why he was , but he looked very unhappy .	I saw Jim loudly yelling at some guy in a military uniform with a huge red beard .  I don't know why he was ,  but he looked very unhappy .	47	why	anne	the lady in uniform	jim and bob	the guys in uniform	I saw Jim yelling timber at some guy in a military uniform with faculty a huge red beard . night I don't know why he was , but he looked very unhappy .	he	she	they	21	22	27	21	21	23	21	30	21	21	24	jim	the guy in uniform	julio	the man in uniform	A	0	1
I saw Jim yelling at some guy in a military uniform with a huge red beard .  I don't know who he was ,  but he looked very unhappy .	I see Jim yelling at some guy in a military uniform with a huge red beard . I don't know who he is , but he looks very unhappy .	Jim had participated in the anti-war protests . I saw Jim yelling at some guy in a military uniform with a huge red beard .  I don't know who he was ,  but he looked very unhappy . The man had probably just signed up because it was a stable job .	i saw jim , whom you had discussed ryan's sitiuation with , yelling at some guy in a military uniform with a huge red beard . i don't know who he was , but he looked very unhappy .	Jim was seen by me yelling at some guy in a military uniform with a huge red beard . I don't know who he was , but he looked very unhappy .	i saw julio yelling at some man in a military uniform with a huge red beard .  i don't know who he was ,  but he looked very unhappy .	I saw Anne yelling at some lady in a military uniform with a huge red bag .  I don't know who she was ,  but she looked very unhappy .	I saw Jim and Bob yelling at some guys in military uniform with huge red beards .  I don't know who they were ,  but they looked very unhappy .	I saw Jim yienllg at some guy in a military uniform wtih a hgue red beard . I don't know who he was , but he lokoed very unhappy .	I saw Jim loudly yelling at some guy in a military uniform with a huge red beard .  I don't know who he was ,  but he looked very unhappy .	47	who	anne	the lady in uniform	jim and bob	the guys in uniform	step-father I saw Jim yelling at some guy in a military uniform with a huge red beard marathon . I don't know who he was pardon , but he looked very unhappy .	he	she	they	21	22	29	21	21	23	21	30	21	21	23	jim	the guy in uniform	julio	the man in uniform	B	0	1
The fish is eating the worm . It is hungry .	The fish is eating the worm . It is hungry .	I am seeing the most fascinating thing I've ever seen . The fish is eating the worm . It is hungry . I always assumed fish were vegetarian . 	the fish , which she had seen swim by the jellyfish , ate the worm . it was hungry .	The worm was eaten by the fish . It was hungry .	the fish ate the roundworm .   it was hungry .	-	The fish are eating the worms . They are hungry .	The fish is eiantg the worm . It is hungry .	The fish is ravenously eating the worm . It is hungry .	48	hungry	-	-	the fish	the worms	binoculars The fish is eating the maple worm . It is hungry .	It	-	they	6	7	17	7	6	8	6	16	7	7	9	the fish	the worm	the fish	the roundworm	A	0	0
The fish ate the worm . It was tasty .	The fish is eating the worm . It is tasty .	Fish don't have many taste buds . The fish ate the worm . It was tasty . Only a fish could think that .	the fish , which you had seen swim by the jellyfish , ate the worm . it was tasty .	The worm was eaten by the fish . It was tasty .	the fish ate the roundworm .   it was tasty .	-	The fish ate the worms . They are tasty .	The fish ate the worm . It was tasty .	The fish ravenously ate the worm . It was tasty .	48	tasty	-	-	the fish	the worms	The fish observation ate the worm . It was tasty .	It	-	they	6	7	13	6	6	8	6	16	7	6	7	the fish	the worm	the fish	the roundworm	B	0	0
I was trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it in .	I am trying to open the lock with the key , but someone had filled the keyhole with chewing gum , and I can't get it in .	I hate some sorts of practical jokes . I was trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it in . I just wound up getting to work late .	i was trying to open the lock with the key , that is mentioned in the the instruction manual , but someone had filled the keyhole with chewing gum , and i couldn't get it in .	I was trying to open the lock with the key , but the keyhole had been filled with chewing gum by someone , and I couldn't get it in .	i was trying to open the lock with the masterkey ,  but someone had filled the hole with bubble gum ,  and i couldn't get   it in .	-	-	I was triyng to open the lock with the key , but smenooe had filled the keyhole wtih chewing gum , and I couldn't get it in .	I was desperately trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it in .	49	in	-	-	-	-	I was species trying to exterior open the lock with the key , but someone had filled the keyhole with chewing gum , and I couldn't get it moth in .	it	-	-	25	26	33	-	25	27	25	35	25	25	27	the key	the chewing gum	the masterkey	the bubble gum	A	1	0
I was trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it out .	I am trying to open the lock with the key , but someone had filled the keyhole with chewing gum , and I can't get it out .	I need to learn when to give up . I was trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it out . I also had chewing gum bits all over my fingernails .	i was trying to open the lock with the key , that is mentioned in the the instruction manual , but someone had filled the keyhole with chewing gum , and i couldn't get it out .	I was trying to open the lock with the key , but the keyhole had been filled with chewing gum by someone , and I couldn't get it out .	i was trying to open the lock with the masterkey ,  but someone had filled the hole with bubble gum ,  and i couldn't get   it out .	-	-	I was trying to oepn the lock with the key , but someone had flleid the keyhole with cniwehg gum , and I cdloun't get it out .	I was desperately trying to open the lock with the key ,  but someone had filled the keyhole with chewing gum ,  and I couldn't get   it out .	49	out	-	-	-	-	I was trying to open the lock with the key inauguration , authorization but someone had filled the keyhole with chewing gum , and I couldn't get testament it out .	it	-	-	25	26	34	-	25	27	25	35	25	25	28	the key	the chewing gum	the masterkey	the bubble gum	B	0	0
The dog chased the cat , which ran up a tree . It waited at the bottom .	The dog is chasing the cat , which is running up a tree . It is waiting at the bottom .	The dog loved a bit of fun . The dog chased the cat , which ran up a tree . It waited at the bottom . We all thought it was rather mean .	the dog , which you had seen barking at the bird , chased the cat , which ran up a tree . it waited at the bottom .	The cat was chased by the dog , which ran up a tree . It waited at the bottom .	the canine chased the feline ,  which ran up a tree .    it waited at the bottom .	-	The dogs chased the cats , which ran up a tree . They waited at the bottom .	The dog cahsed the cat , which ran up a tree . It waited at the btotom .	The dog rapidly chased the cat , which ran up a tree . It waited at the bottom .	50	bottom	-	-	the dogs	the cats	The dog today chased the cat , which ran up a tree . It waited nerve at the bottom .	It	-	they	12	13	20	12	12	14	12	22	14	12	13	the dog	the cat	the canine	the feline	A	0	0
The dog chased the cat , which ran up a tree . It waited at the top .	The dog is chasing the cat , which is running up a tree . It is waiting at the top .	The cat was far too agile for the dog . The dog chased the cat , which ran up a tree . It waited at the top . The stalemate would have to break eventually . 	the dog , which she had seen barking at the bird , chased the cat , which ran up a tree . it waited at the top .	The cat was chased by the dog , which ran up a tree . It waited at the top .	the canine chased the feline ,  which ran up a tree .    it waited at the top .	-	The dogs chased the cats , which ran up a tree . They waited at the top .	The dog csahed the cat , which ran up a tree . It waited at the top .	The dog rapidly chased the cat , which ran up a tree . It waited at the top .	50	top	-	-	the dogs	the cats	The dog chased the kinase cat , which dreamer ran up a tree . It waited at the top .	It	-	they	12	13	22	12	12	14	12	22	14	12	14	the dog	the cat	the canine	the feline	B	0	0
In the storm , the tree fell down and crashed through the roof of my house . Now , I have to get it removed .	In the storm , the tree is falling down and crashing through the roof of my house . Now , I will have to get it removed .	We had a gale yesterday . In the storm , the tree fell down and crashed through the roof of my house . Now , I have to get it removed . Unfortunately , I'm not that strong .	in the storm , the tree , which she had seen in the garden , fell down and crashed through the roof of my house . now , i have to get it removed .	In the storm , the roof of my house was crashed through by the tree which fell down . Now , I have to get it removed .	in the storm ,  the willow fell down and crashed through the ceiling of my house .  now ,  i have to get   it removed .	-	In the storm , the trees fell down and crashed through the roofs of my house . Now , I have to get them removed .	In the storm , the tree fell down and cashred through the roof of my house . Now , I have to get it rvoeemd .	In the storm , the tree abruptly fell down and savagely crashed through the roof of my house . Now , I have to get it removed .	51	removed	-	-	the trees	the roofs	In the storm bike , drake the tree fell ox down and crashed through the roof of my house . Now , I have to get it removed .	it	-	them	23	25	29	23	23	25	23	32	25	23	26	the tree	the roof	the willow	the ceiling	A	0	0
In the storm , the tree fell down and crashed through the roof of my house . Now , I have to get it repaired .	In the storm , the tree is falling down and crashing through the roof of my house . Now , I will have to get it repaired .	My neighbour recently started a home repair business . In the storm , the tree fell down and crashed through the roof of my house . Now , I have to get it repaired . He must be delighted with all the business .	in the storm , the tree , which you had seen in the garden , fell down and crashed through the roof of my house . now , i have to get it repaired .	In the storm , the roof of my house was crashed through by the tree which fell down . Now , I have to get it repaired .	in the storm ,  the willow fell down and crashed through the ceiling of my house .  now ,  i have to get   it repaired .	-	In the storm , the trees fell down and crashed through the roofs of my house . Now , I have to get them repaired .	In the storm , the tree fell down and csrehad thugroh the roof of my hosue . Now , I have to get it repaired .	In the storm , the tree abruptly fell down and savagely crashed through the roof of my house . Now , I have to get it repaired .	51	repaired	-	-	the trees	the roofs	In the storm , the tree fell pentagon down robotics and crashed through the roof of my house . Now , I have to get it topsail repaired .	it	-	them	23	25	32	23	23	25	23	32	25	23	25	the tree	the roof	the willow	the ceiling	B	1	0
The customer walked into the bank and stabbed one of the tellers . He was immediately taken to the police station .	The customer is walking into the bank and stabbing one of the tellers . He is immediately taken to the police station .	We had someone go postal at work yesterday . The customer walked into the bank and stabbed one of the tellers . He was immediately taken to the police station . The man must have been mentally ill .	the customer , which you had seen talking to the manager , walked into the bank and stabbed one of the tellers . he was immediately taken to the police station .	One of the tellers was stabbed by the customer that walked into the bank . He was immediately taken to the police station .	the client walked into the bank and stabbed one of the cashiers .    he was immediately taken to the police station .	The customer walked into the bank and stabbed one of the tellers . She was immediately taken to the police station .	The customers walked into the bank and stabbed some of the tellers . They were immediately taken to the police station .	The customer walked into the bnak and sbebatd one of the tellers . He was immediately taken to the police station .	The customer casually walked into the bank and savagely stabbed one of the tellers . He was immediately taken to the police station .	52	police station	the customer	the teller	the customers	the tellers	counsel The customer walked into the bank and stabbed one of mimosa the tellers ironclad . He was immediately taken to the police station .	He	she	they	13	15	22	13	13	15	13	23	16	13	16	the customer	the teller	the client	the cashiers	A .	0	0
The customer walked into the bank and stabbed one of the tellers . He was immediately taken to the hospital .	The customer is walking into the bank and stabbing one of the tellers . He is immediately taken to the hospital .	Working at a bank isn't typically seen as a risky profession . The customer walked into the bank and stabbed one of the tellers . He was immediately taken to the hospital . I hope he makes a full recovery .	the customer , which you had seen talking to the manager , walked into the bank and stabbed one of the tellers . he was immediately taken to the hospital .	One of the tellers was stabbed by the customer that walked into the bank . He was immediately taken to the hospital .	the client walked into the bank and stabbed one of the cashiers .    he was immediately taken to the hospital .	The customer walked into the bank and stabbed one of the tellers . She was immediately taken to the hospital .	The customers walked into the bank and stabbed some of the tellers . They were immediately taken to the hospital .	The customer walked into the bank and sbetbad one of the teelrls . He was immediately tekan to the hospital .	The customer casually walked into the bank and savagely stabbed one of the tellers . He was immediately taken to the hospital .	52	hospital	the customer	the teller	the customers	the tellers	The customer walked into photographer the bank and stabbed one oboe of the tellers . He was immediately shape taken to the hospital .	He	she	they	13	15	25	13	13	15	13	23	16	13	15	the customer	the teller	the client	the cashiers	B .	0	0
John was doing research in the library when he heard a man humming and whistling .   He was very annoyed .	John is doing research in the library when he hears a man humming and whistling . He is very annoyed .	Some people can be very inconsiderate . John was doing research in the library when he heard a man humming and whistling .   He was very annoyed . Unfortunately , silent zones do not extend outside the library . 	john , whom you know from the aerobics class with that strange man , was doing research in the library when he heard a man humming and whistling . he was very annoyed .	The man who was humming and whistling was heard by John when he was doing research in the library . He was very annoyed .	ivan was doing research in the library when he heard a person humming and whistling .   he was very annoyed .	Mary was doing research in the library when she heard a woman humming and whistling .   She was very annoyed .	John and Steve were doing research in the library when they heard men humming and whistling .  They were very annoyed .	John was doing rescareh in the lriabry wehn he heard a man humming and whistling . He was very annoyed .	John was quietly doing research in the library when he suddenly heard a man humming and whistling .   He was very annoyed .	53	annoyed	mary	the woman	john and steve	the men	John was salary doing research in the library when he study heard a man humming and whistling . wrench He was very annoyed .	He	she	they	16	18	23	17	16	20	16	29	16	16	18	john	the man	ivan	a person	A	0	1
John was doing research in the library when he heard a man humming and whistling .   He was very annoying .	John is doing research in the library when he hears a man humming and whistling . He is very annoying .	Whistling is one of those things almost nobody does well . John was doing research in the library when he heard a man humming and whistling .   He was very annoying . The song was completely unidentifiable .	john , whom you know from the aerobics class with that strange man , was doing research in the library when he heard a man humming and whistling . he was very annoying .	The man who was humming and whistling was heard by John when he was doing research in the library . He was very annoying .	ivan was doing research in the library when he heard a person humming and whistling .   he was very annoying .	Mary was doing research in the library when she heard a woman humming and whistling .   She was very annoying .	John and Steve were doing research in the library when they heard men humming and whistling .  They were very annoying .	John was doing rcesareh in the library when he heard a man humming and whistling . He was very aniynong .	John was quietly doing research in the library when he suddenly heard a man humming and whistling .   He was very annoying .	53	annoying	mary	the woman	john and steve	the men	John was doing research in the library prosecution conservative when he heard a man humming and whistling . subsidy He was very annoying .	He	she	they	16	18	27	17	16	20	16	29	16	16	18	john	the man	ivan	a person	B	0	1
John was jogging through the park when he saw a man juggling watermelons .  He was very impressed .	John is jogging through the park when he sees a man juggling watermelons .  He is very impressed .	John had been practicing juggling for a while now . John was jogging through the park when he saw a man juggling watermelons .  He was very impressed . He wondered when he'd be able to move on to watermelons .	john , whom we had seen at the aerobics class with that strange man , was jogging through the park when he saw a man juggling watermelons . he was very impressed .	A man juggling watermelons was seen by John when he was jogging through the park . He was very impressed .	ivan was jogging through the park when he saw a man juggling watermelons .  he was very impressed .	Mary was jogging through the park when she saw a woman juggling watermelons .  she was very impressed .	John and Peter were jogging through the park when they saw men juggling watermelons .  They were very impressed .	John was jinoggg thorugh the park when he saw a man juggling weolnretmas . He was very isesmpred .	John was leisurely jogging through the park when he saw a man gracefully juggling watermelons .  He was very impressed .	54	impressed	mary	the juggler	john and peter	the jugglers	nit John was jogging through the park when he saw a man juggling watermelons . He was very impressed porpoise .	He	she	they	14	16	24	15	14	16	14	29	14	14	15	john	the juggler	ivan	the performer	A	0	0
